School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Mashpee - Quashnet School;01720035;ELA;          13;32;           1;2;          12;29;          22;54;           6;15;          41;     490.2;          40.2;          31;10;2019;ALL;multi-race
Mashpee - Quashnet School;01720035;MATH;          18;44;           3;7;          15;37;          17;41;           6;15;          41;     491.8;          49.9;          31;20;2019;ALL;multi-race
Match Charter Public School (District) - Match Charter Public School;04690505;ELA;           7;64;           2;18;           5;45;           1;9;           3;27;          11;     499.7;;          10;37;2019;ALL;multi-race
Match Charter Public School (District) - Match Charter Public School;04690505;MATH;           5;45;           0;0;           5;45;           6;55;           0;0;          11;     498.3;;          10;45;2019;ALL;multi-race
Maynard - Fowler School;01740305;ELA;          15;63;           1;4;          14;58;           7;29;           2;8;          24;     499.1;          53.1;          24;34;2019;ALL;multi-race
Maynard - Fowler School;01740305;MATH;          10;42;           2;8;           8;33;          11;46;           3;13;          24;     495.5;          57.0;          24;32;2019;ALL;multi-race
Medfield - Dale Street;01750005;ELA;           8;80;           4;40;           4;40;           2;20;           0;0;          10;     517.7;;           9;85;2019;ALL;multi-race
Medfield - Dale Street;01750005;MATH;           6;60;           3;30;           3;30;           4;40;           0;0;          10;     513.4;;           9;79;2019;ALL;multi-race
Medfield - Thomas Blake Middle;01750305;ELA;          21;84;           5;20;          16;64;           4;16;           0;0;          25;     518.0;          59.3;          24;86;2019;ALL;multi-race
Medfield - Thomas Blake Middle;01750305;MATH;          20;80;           7;28;          13;52;           5;20;           0;0;          25;     517.2;          52.8;          24;87;2019;ALL;multi-race
Medford - Brooks School;01760130;ELA;          11;79;           1;7;          10;71;           3;21;           0;0;          14;     517.3;;          11;84;2019;ALL;multi-race
Medford - Brooks School;01760130;MATH;          10;71;           4;29;           6;43;           4;29;           0;0;          14;     515.1;;          11;83;2019;ALL;multi-race
Medford - John J McGlynn Elementary School;01760068;ELA;           8;57;           1;7;           7;50;           5;36;           1;7;          14;     503.9;;          12;52;2019;ALL;multi-race
Medford - John J McGlynn Elementary School;01760068;MATH;           5;36;           0;0;           5;36;           8;57;           1;7;          14;     491.4;;          12;19;2019;ALL;multi-race
Medford - John J. McGlynn Middle School;01760320;ELA;           6;38;           1;6;           5;31;           8;50;           2;13;          16;     493.0;;          14;17;2019;ALL;multi-race
Medford - John J. McGlynn Middle School;01760320;MATH;           2;13;           0;0;           2;13;          10;63;           4;25;          16;     483.8;;          14;7;2019;ALL;multi-race
Medford - Madeleine Dugger Andrews;01760315;ELA;          14;52;           6;22;           8;30;          11;41;           2;7;          27;     506.6;          59.9;          27;59;2019;ALL;multi-race
Medford - Madeleine Dugger Andrews;01760315;MATH;          13;48;           4;15;           9;33;          11;41;           3;11;          27;     501.3;          56.5;          27;52;2019;ALL;multi-race
Medford - Milton Fuller Roberts;01760150;ELA;           8;53;           1;7;           7;47;           7;47;           0;0;          15;     500.9;;           9;42;2019;ALL;multi-race
Medford - Milton Fuller Roberts;01760150;MATH;           6;40;           0;0;           6;40;           6;40;           3;20;          15;     490.5;;           9;17;2019;ALL;multi-race
Medway - Medway Middle;01770305;ELA;          15;75;           4;20;          11;55;           5;25;           0;0;          20;     513.2;          42.9;          20;76;2019;ALL;multi-race
Medway - Medway Middle;01770305;MATH;          15;75;           2;10;          13;65;           5;25;           0;0;          20;     513.5;          46.8;          20;80;2019;ALL;multi-race
Melrose - Lincoln;01780020;ELA;          17;85;           2;10;          15;75;           3;15;           0;0;          20;     514.9;;          14;79;2019;ALL;multi-race
Melrose - Lincoln;01780020;MATH;          12;60;           3;15;           9;45;           8;40;           0;0;          20;     505.7;;          14;63;2019;ALL;multi-race
Melrose - Melrose Middle;01780305;ELA;          22;71;           8;26;          14;45;           6;19;           3;10;          31;     513.5;          53.9;          31;77;2019;ALL;multi-race
Melrose - Melrose Middle;01780305;MATH;          21;68;           4;13;          17;55;           8;26;           2;6;          31;     507.7;          42.0;          31;66;2019;ALL;multi-race
Melrose - Melrose Middle;01780305;SCI;           9;82;           2;18;           7;64;           1;9;           1;9;          11;     509.6;;;71;2019;ALL;multi-race
Melrose - Roosevelt;01780035;ELA;           8;80;           1;10;           7;70;           2;20;           0;0;          10;     512.2;;           5;72;2019;ALL;multi-race
Melrose - Roosevelt;01780035;MATH;           8;80;           3;30;           5;50;           1;10;           1;10;          10;     514.8;;           5;82;2019;ALL;multi-race
Mendon-Upton - Miscoe Hill School;07100015;ELA;          13;50;           2;8;          11;42;          13;50;           0;0;          26;     501.9;          49.0;          26;46;2019;ALL;multi-race
Mendon-Upton - Miscoe Hill School;07100015;MATH;          12;46;           2;8;          10;38;          13;50;           1;4;          26;     500.0;          54.0;          26;49;2019;ALL;multi-race
Methuen - Comprehensive Grammar School;01810050;ELA;          23;72;           2;6;          21;66;           6;19;           3;9;          32;     509.2;          53.4;          25;65;2019;ALL;multi-race
Methuen - Comprehensive Grammar School;01810050;MATH;          16;50;           3;9;          13;41;          13;41;           3;9;          32;     502.7;          42.7;          25;56;2019;ALL;multi-race
Methuen - Comprehensive Grammar School;01810050;SCI;           6;46;           1;8;           5;38;           5;38;           2;15;          13;     503.8;;;58;2019;ALL;multi-race
Methuen - Donald P Timony Grammar;01810060;ELA;          19;44;           2;5;          17;40;          22;51;           2;5;          43;     498.9;          53.4;          34;33;2019;ALL;multi-race
Methuen - Donald P Timony Grammar;01810060;MATH;          16;37;           2;5;          14;33;          25;58;           2;5;          43;     498.5;          45.6;          34;46;2019;ALL;multi-race
Methuen - Donald P Timony Grammar;01810060;SCI;           2;20;           0;0;           2;20;           8;80;           0;0;          10;     489.9;;;18;2019;ALL;multi-race
Methuen - Marsh Grammar School;01810030;ELA;          25;71;           4;11;          21;60;           8;23;           2;6;          35;     509.9;          60.2;          28;67;2019;ALL;multi-race
Methuen - Marsh Grammar School;01810030;MATH;          22;63;           3;9;          19;54;          12;34;           1;3;          35;     506.5;          57.1;          28;64;2019;ALL;multi-race
Methuen - Tenney Grammar School;01810055;ELA;          19;34;           3;5;          16;29;          34;61;           3;5;          56;     496.1;          31.2;          50;26;2019;ALL;multi-race
Methuen - Tenney Grammar School;01810055;MATH;          26;46;           4;7;          22;39;          25;45;           5;9;          56;     497.1;          41.5;          50;38;2019;ALL;multi-race
Methuen - Tenney Grammar School;01810055;SCI;           8;35;           2;9;           6;26;          14;61;           1;4;          23;     495.4;;;37;2019;ALL;multi-race
Middleborough - Henry B. Burkland Elementary School;01820008;ELA;           9;36;           2;8;           7;28;          15;60;           1;4;          25;     496.2;          49.5;          21;27;2019;ALL;multi-race
Middleborough - Henry B. Burkland Elementary School;01820008;MATH;           5;20;           0;0;           5;20;          18;72;           2;8;          25;     488.8;          39.9;          21;13;2019;ALL;multi-race
Middleborough - Henry B. Burkland Elementary School;01820008;SCI;           6;50;           0;0;           6;50;           6;50;           0;0;          12;     502.3;;;55;2019;ALL;multi-race
Middleborough - John T. Nichols Middle;01820305;ELA;          13;45;           4;14;           9;31;          11;38;           5;17;          29;     496.5;          51.7;          29;28;2019;ALL;multi-race
Middleborough - John T. Nichols Middle;01820305;MATH;           8;28;           1;3;           7;24;          17;59;           4;14;          29;     488.8;          40.1;          29;13;2019;ALL;multi-race
Middleborough - John T. Nichols Middle;01820305;SCI;           4;33;           1;8;           3;25;           7;58;           1;8;          12;     497.0;;;41;2019;ALL;multi-race
Middleborough - Mary K. Goode Elementary School;01820010;ELA;           3;27;           0;0;           3;27;           6;55;           2;18;          11;     489.8;;           6;10;2019;ALL;multi-race
Middleborough - Mary K. Goode Elementary School;01820010;MATH;           6;55;           1;9;           5;45;           3;27;           2;18;          11;     498.7;;           6;46;2019;ALL;multi-race
Middleton - Howe-Manning;01840005;ELA;          11;69;           2;13;           9;56;           4;25;           1;6;          16;     511.7;;          10;71;2019;ALL;multi-race
Middleton - Howe-Manning;01840005;MATH;          11;69;           1;6;          10;63;           4;25;           1;6;          16;     510.6;;          10;73;2019;ALL;multi-race
Milford - Stacy Middle;01850305;ELA;          17;49;           3;9;          14;40;          16;46;           2;6;          35;     504.0;          47.4;          33;53;2019;ALL;multi-race
Milford - Stacy Middle;01850305;MATH;          14;40;           4;11;          10;29;          14;40;           7;20;          35;     495.6;          49.2;          33;33;2019;ALL;multi-race
Milford - Stacy Middle;01850305;SCI;           7;58;           1;8;           6;50;           4;33;           1;8;          12;     505.3;;;62;2019;ALL;multi-race
Milford - Woodland;01850090;ELA;          25;54;           5;11;          20;43;          18;39;           3;7;          46;     502.7;          50.4;          32;48;2019;ALL;multi-race
Milford - Woodland;01850090;MATH;          19;41;           3;7;          16;35;          24;52;           3;7;          46;     498.1;          43.6;          32;43;2019;ALL;multi-race
