School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Arlington - Thompson;00100050;MATH;           6;38;           0;0;           6;38;           6;38;           4;25;          16;     483.7;;           9;58;2019;ALL;EL
Ashland - Ashland Middle;00140405;ELA;           0;0;           0;0;           0;0;          13;68;           6;32;          19;     474.7;;          16;26;2019;ALL;EL
Ashland - Ashland Middle;00140405;MATH;           3;16;           0;0;           3;16;          12;63;           4;21;          19;     481.2;;          16;50;2019;ALL;EL
Ashland - David Mindess;00140015;ELA;           4;10;           1;2;           3;7;          32;78;           5;12;          41;     485.6;          46.0;          25;64;2019;ALL;EL
Ashland - David Mindess;00140015;MATH;           4;10;           0;0;           4;10;          31;76;           6;15;          41;     481.9;          51.7;          26;52;2019;ALL;EL
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;           2;18;           0;0;           2;18;           7;64;           2;18;          11;     481.3;;          11;48;2019;ALL;EL
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;           1;9;           0;0;           1;9;           8;73;           2;18;          11;     485.6;;          11;65;2019;ALL;EL
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;           7;14;           0;0;           7;14;          28;56;          15;30;          50;     477.4;          38.2;          34;32;2019;ALL;EL
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;           4;8;           0;0;           4;8;          30;61;          15;31;          49;     478.4;          36.7;          33;41;2019;ALL;EL
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;           0;0;           0;0;           0;0;           7;41;          10;59;          17;     465.6;;;25;2019;ALL;EL
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;           5;38;           0;0;           5;38;           5;38;           3;23;          13;     489.9;;           6;76;2019;ALL;EL
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;           5;38;           1;8;           4;31;           6;46;           2;15;          13;     491.2;;           6;78;2019;ALL;EL
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;           1;3;           0;0;           1;3;          16;53;          13;43;          30;     469.7;          48.9;          25;16;2019;ALL;EL
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;           1;3;           0;0;           1;3;          15;50;          14;47;          30;     472.2;          46.0;          25;19;2019;ALL;EL
