School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL,Year
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,ELA,40,33,5,4,35,29,73,61,7,6,120,,495.8,38.5,68,28,2018
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,MATH,37,31,3,3,34,29,66,55,16,13,119,,491.1,43.8,67,22,2018
Berkley - Berkley Community School,270010,ELA,125,62,29,14,96,48,71,35,6,3,202,,506.5,51.1,115,70,2018
Berkley - Berkley Community School,270010,MATH,113,56,14,7,99,49,82,41,7,3,202,,503.7,62,115,68,2018
Berkley - Berkley Middle School,270305,ELA,201,52,38,10,163,43,153,40,29,8,383,,501.6,51.3,377,48,2018
Berkley - Berkley Middle School,270305,MATH,183,48,12,3,171,45,174,45,26,7,383,,498.5,43.2,376,47,2018
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,ELA,96,48,20,10,76,38,81,41,21,11,198,,499.7,58.4,172,43,2018
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,MATH,96,48,20,10,76,38,89,45,14,7,199,,501.4,59.4,174,61,2018
Berkshire Hills - Muddy Brook Regional Elementary School,6180035,ELA,68,55,13,10,55,44,48,39,8,6,124,,503.4,79.7,56,56,2018
Berkshire Hills - Muddy Brook Regional Elementary School,6180035,MATH,52,42,4,3,48,39,59,48,13,10,124,,494.7,59.6,56,33,2018
Berkshire Hills - W.E.B. Du Bois Regional Middle School,6180310,ELA,158,45,21,6,137,39,151,43,40,11,349,,496.9,41.8,323,31,2018
Berkshire Hills - W.E.B. Du Bois Regional Middle School,6180310,MATH,132,38,8,2,124,36,184,53,33,9,349,,494.7,49.1,321,33,2018
Berlin (non-op) - Berlin Memorial,280005,ELA,50,60,3,4,47,57,27,33,6,7,83,,502.9,42.3,58,57,2018
Berlin (non-op) - Berlin Memorial,280005,MATH,54,65,9,11,45,54,22,27,7,8,83,,501.7,47.6,58,63,2018
Berlin-Boylston - Tahanto Regional High,6200505,ELA,147,53,23,8,124,45,107,39,21,8,275,,502.2,46,263,51,2018
