School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Belmont - Roger E Wellington;00260035;ELA;           4;40;           1;10;           3;30;           5;50;           1;10;          10;100;     495.0;;;2021;ALL;title 1
Belmont - Roger E Wellington;00260035;MATH;           2;20;           0;0;           2;20;           7;70;           1;10;          10;100;     488.0;;;2021;ALL;title 1
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;ELA;         124;71;          36;21;          88;50;          38;22;          13;7;         175;98;     509.2;          42.2;          78;2021;ALL;title 1
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;MATH;          81;46;          10;6;          71;41;          78;45;          16;9;         175;98;     497.6;          25.8;          78;2021;ALL;title 1
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;SCI;          30;71;           6;14;          24;57;          10;24;           2;5;          42;100;     508.0;;;2021;ALL;title 1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;ELA;          30;33;           1;1;          29;32;          56;61;           6;7;          92;99;     491.4;          34.0;          56;2021;ALL;title 1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;MATH;          13;14;           0;0;          13;14;          66;71;          14;15;          93;100;     484.9;          24.2;          57;2021;ALL;title 1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;SCI;           4;15;           0;0;           4;15;          19;73;           3;12;          26;100;     484.8;;;2021;ALL;title 1
Berkley - Berkley Community School;00270010;ELA;          94;54;          14;8;          80;46;          72;42;           7;4;         173;100;     502.0;;;2021;ALL;title 1
Berkley - Berkley Community School;00270010;MATH;          69;40;           7;4;          62;36;          80;46;          24;14;         173;100;     493.5;;;2021;ALL;title 1
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;ELA;          84;47;          15;8;          69;39;          56;32;          37;21;         177;91;     495.4;          37.9;         159;2021;ALL;title 1
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;MATH;          50;28;           3;2;          47;26;          90;50;          39;22;         179;92;     486.8;          24.7;         160;2021;ALL;title 1
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;SCI;          19;40;           4;8;          15;31;          21;44;           8;17;          48;94;     495.9;;;2021;ALL;title 1
Berkshire Hills - Muddy Brook Regional Elementary School;06180035;ELA;          55;53;           6;6;          49;48;          40;39;           8;8;         103;97;     500.8;;;2021;ALL;title 1
Berkshire Hills - Muddy Brook Regional Elementary School;06180035;MATH;          48;47;           1;1;          47;46;          42;41;          13;13;         103;97;     494.5;;;2021;ALL;title 1
Berkshire Hills - W.E.B. Du Bois Regional Middle School;06180310;ELA;         127;40;          19;6;         108;34;         142;45;          48;15;         317;95;     494.0;          34.1;         276;2021;ALL;title 1
Berkshire Hills - W.E.B. Du Bois Regional Middle School;06180310;MATH;          71;22;           4;1;          67;21;         167;53;          80;25;         318;95;     485.0;          23.8;         278;2021;ALL;title 1
Berkshire Hills - W.E.B. Du Bois Regional Middle School;06180310;SCI;          57;35;           1;1;          56;35;          75;47;          29;18;         161;93;     491.6;;;2021;ALL;title 1
Berlin-Boylston - Berlin Memorial School;06200005;ELA;           8;67;           0;0;           8;67;           4;33;           0;0;          12;93;     502.6;;           3;2021;ALL;title 1
Berlin-Boylston - Berlin Memorial School;06200005;MATH;           2;15;           0;0;           2;15;           9;69;           2;15;          13;100;     483.3;;           2;2021;ALL;title 1
Berlin-Boylston - Tahanto Regional High;06200505;ELA;           4;25;           0;0;           4;25;           9;56;           3;19;          16;100;     487.8;;          16;2021;ALL;title 1
Berlin-Boylston - Tahanto Regional High;06200505;MATH;           7;44;           0;0;           7;44;           6;38;           3;19;          16;100;     489.6;;          16;2021;ALL;title 1
Beverly - Ayers/Ryal Side School;00300055;ELA;          90;56;          12;7;          78;48;          63;39;           8;5;         161;96;     501.2;;;2021;ALL;title 1
Beverly - Ayers/Ryal Side School;00300055;MATH;          62;38;           5;3;          57;35;          82;51;          18;11;         162;97;     493.5;;;2021;ALL;title 1
Beverly - Centerville Elementary;00300010;ELA;          95;66;          16;11;          79;55;          36;25;          12;8;         143;99;     503.9;;;2021;ALL;title 1
Beverly - Centerville Elementary;00300010;MATH;          72;50;           8;6;          64;45;          47;33;          24;17;         143;99;     497.6;;;2021;ALL;title 1
Beverly - Cove Elementary;00300015;ELA;          71;65;          15;14;          56;51;          33;30;           6;5;         110;100;     507.7;;;2021;ALL;title 1
Beverly - Cove Elementary;00300015;MATH;          58;53;          12;11;          46;42;          39;35;          13;12;         110;100;     500.0;;;2021;ALL;title 1
Beverly - North Beverly Elementary;00300040;ELA;          73;62;          17;14;          56;47;          35;30;          10;8;         118;100;     504.0;;;2021;ALL;title 1
Beverly - North Beverly Elementary;00300040;MATH;          66;57;          11;9;          55;47;          38;33;          12;10;         116;98;     503.7;;;2021;ALL;title 1
Billerica - Hajjar Elementary;00310026;ELA;           7;39;           0;0;           7;39;          10;56;           1;6;          18;95;     495.6;;;2021;ALL;title 1
Billerica - Hajjar Elementary;00310026;MATH;           4;21;           0;0;           4;21;          11;58;           4;21;          19;100;     482.3;;;2021;ALL;title 1
Billerica - Marshall Middle School;00310305;ELA;          21;32;           0;0;          21;32;          39;59;           6;9;          66;100;     490.3;          34.4;          64;2021;ALL;title 1
Billerica - Marshall Middle School;00310305;MATH;           5;8;           1;2;           4;6;          46;70;          15;23;          66;100;     480.8;          33.0;          64;2021;ALL;title 1
Billerica - Marshall Middle School;00310305;SCI;           7;19;           0;0;           7;19;          23;62;           7;19;          37;100;     485.9;;;2021;ALL;title 1
Billerica - Parker;00310015;ELA;           9;33;           0;0;           9;33;          15;56;           3;11;          27;96;     489.9;;;2021;ALL;title 1
Billerica - Parker;00310015;MATH;           2;7;           0;0;           2;7;          18;67;           7;26;          27;96;     479.3;;;2021;ALL;title 1
Billerica - Thomas Ditson;00310005;ELA;           8;42;           0;0;           8;42;           9;47;           2;11;          19;100;     495.0;;;2021;ALL;title 1
Billerica - Thomas Ditson;00310005;MATH;           2;11;           1;5;           1;5;          14;74;           3;16;          19;100;     485.4;;;2021;ALL;title 1
Blackstone-Millville - A F Maloney;06220015;ELA;         145;55;          15;6;         130;50;          97;37;          20;8;         262;99;     500.2;          34.9;         105;2021;ALL;title 1
Blackstone-Millville - A F Maloney;06220015;MATH;         101;39;           4;2;          97;37;         129;49;          32;12;         262;99;     492.0;          38.7;         105;2021;ALL;title 1
Blackstone-Millville - A F Maloney;06220015;SCI;          39;37;           4;4;          35;33;          47;44;          20;19;         106;99;     491.5;;;2021;ALL;title 1
Blackstone-Millville - Millville Elementary;06220010;ELA;          55;57;          10;10;          45;46;          35;36;           7;7;          97;97;     501.0;          48.6;          32;2021;ALL;title 1
Blackstone-Millville - Millville Elementary;06220010;MATH;          31;32;           5;5;          26;27;          52;54;          14;14;          97;97;     490.2;          56.1;          32;2021;ALL;title 1
Blackstone-Millville - Millville Elementary;06220010;SCI;          13;41;           4;13;           9;28;          19;59;           0;0;          32;94;     498.1;;;2021;ALL;title 1
Boston - Adams Elementary School;00350302;ELA;          31;28;           5;5;          26;24;          55;50;          24;22;         110;98;     488.8;          36.4;          45;2021;ALL;title 1
Boston - Adams Elementary School;00350302;MATH;          20;18;           1;1;          19;17;          45;41;          45;41;         110;98;     476.8;          24.0;          45;2021;ALL;title 1
Boston - Adams Elementary School;00350302;SCI;           6;25;           0;0;           6;25;          14;58;           4;17;          24;96;     485.5;;;2021;ALL;title 1
Boston - Alighieri Dante Montessori School;00350066;ELA;          22;52;           3;7;          19;45;          17;40;           3;7;          42;100;     499.9;;          18;2021;ALL;title 1
Boston - Alighieri Dante Montessori School;00350066;MATH;          14;33;           0;0;          14;33;          21;50;           7;17;          42;100;     488.9;;          18;2021;ALL;title 1
Boston - Bates Elementary School;00350278;ELA;          24;33;           3;4;          21;29;          35;49;          13;18;          72;68;     487.8;          22.3;          26;2021;ALL;title 1
Boston - Bates Elementary School;00350278;MATH;          17;24;           1;1;          16;23;          34;49;          19;27;          70;66;     484.3;          15.6;          23;2021;ALL;title 1
Boston - Bates Elementary School;00350278;SCI;           3;11;           0;0;           3;11;          16;57;           9;32;          28;72;     479.1;;;2021;ALL;title 1
Boston - Blackstone Elementary School;00350390;ELA;          13;14;           2;2;          11;12;          42;46;          36;40;          91;43;     478.1;;          10;2021;ALL;title 1
Boston - Blackstone Elementary School;00350390;MATH;           1;1;           0;0;           1;1;          24;27;          64;72;          89;42;     459.2;;          11;2021;ALL;title 1
Boston - Blackstone Elementary School;00350390;SCI;           1;7;           0;0;           1;7;           5;36;           8;57;          14;23;     468.9;;;2021;ALL;title 1
Boston - Boston Latin Academy;00350545;ELA;         319;69;          38;8;         281;61;         137;30;           8;2;         464;87;     508.2;          32.7;         397;2021;ALL;title 1
Boston - Boston Latin Academy;00350545;MATH;         244;52;          12;3;         232;50;         213;46;          11;2;         468;88;     501.2;          23.0;         403;2021;ALL;title 1
Boston - Boston Latin Academy;00350545;SCI;          33;44;           5;7;          28;37;          40;53;           2;3;          75;90;     500.2;;;2021;ALL;title 1
Boston - Boston Latin School;00350560;ELA;         573;83;          90;13;         483;70;         116;17;           3;0;         692;84;     515.4;          30.0;         516;2021;ALL;title 1
Boston - Boston Latin School;00350560;MATH;         515;74;         111;16;         404;58;         173;25;           4;1;         692;84;     512.7;          23.4;         516;2021;ALL;title 1
