School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Ashland - Ashland Middle;00140405;SCI;          12;30;           0;0;          12;30;          20;50;           8;20;          40;100;     486.5;;;63;2022;ALL;hispanic/latino
Ashland - David Mindess;00140015;ELA;          28;28;           1;1;          27;27;          51;51;          21;21;         100;99;     486.7;          43.9;          65;52;2022;ALL;hispanic/latino
Ashland - David Mindess;00140015;MATH;          26;26;           0;0;          26;26;          49;49;          25;25;         100;100;     484.2;          46.5;          65;50;2022;ALL;hispanic/latino
Ashland - David Mindess;00140015;SCI;          11;32;           0;0;          11;32;          13;38;          10;29;          34;97;     483.8;;;54;2022;ALL;hispanic/latino
Athol-Royalston - Athol Community Elementary School;06150020;ELA;           7;27;           0;0;           7;27;          13;50;           6;23;          26;96;     484.1;;           9;41;2022;ALL;hispanic/latino
Athol-Royalston - Athol Community Elementary School;06150020;MATH;           3;12;           0;0;           3;12;          18;69;           5;19;          26;96;     482.3;;           9;42;2022;ALL;hispanic/latino
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;           5;10;           0;0;           5;10;          26;51;          20;39;          51;98;     477.7;          39.1;          49;14;2022;ALL;hispanic/latino
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;           6;12;           0;0;           6;12;          34;67;          11;22;          51;98;     482.2;          49.4;          49;42;2022;ALL;hispanic/latino
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;           6;20;           0;0;           6;20;          17;57;           7;23;          30;94;     484.9;;;57;2022;ALL;hispanic/latino
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;          18;24;           1;1;          17;23;          38;51;          18;24;          74;100;     484.9;          50.6;          59;45;2022;ALL;hispanic/latino
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;          15;20;           0;0;          15;20;          41;55;          18;24;          74;100;     482.8;          47.4;          59;46;2022;ALL;hispanic/latino
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;           5;18;           0;0;           5;18;          16;57;           7;25;          28;100;     482.3;;;51;2022;ALL;hispanic/latino
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          11;46;           1;4;          10;42;           9;38;           4;17;          24;100;     494.7;;          11;80;2022;ALL;hispanic/latino
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;           5;22;           0;0;           5;22;          14;61;           4;17;          23;96;     483.7;;          11;48;2022;ALL;hispanic/latino
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;          24;22;           1;1;          23;21;          57;51;          30;27;         111;100;     483.7;          46.0;         104;39;2022;ALL;hispanic/latino
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;          19;17;           0;0;          19;17;          62;56;          30;27;         111;100;     482.5;          47.6;         104;43;2022;ALL;hispanic/latino
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;           6;11;           0;0;           6;11;          31;57;          17;31;          54;100;     479.0;;;33;2022;ALL;hispanic/latino
Attleboro - Hill-Roberts Elementary School;00160045;ELA;           7;35;           0;0;           7;35;           7;35;           6;30;          20;100;     487.1;;          10;53;2022;ALL;hispanic/latino
Attleboro - Hill-Roberts Elementary School;00160045;MATH;           8;40;           0;0;           8;40;           8;40;           4;20;          20;100;     487.9;;          10;63;2022;ALL;hispanic/latino
Attleboro - Hyman Fine Elementary School;00160040;ELA;           6;17;           1;3;           5;14;          16;44;          14;39;          36;100;     479.2;;          14;20;2022;ALL;hispanic/latino
Attleboro - Hyman Fine Elementary School;00160040;MATH;           7;19;           0;0;           7;19;          16;44;          13;36;          36;100;     480.5;;          14;34;2022;ALL;hispanic/latino
Attleboro - Peter Thacher Elementary School;00160050;ELA;           1;7;           0;0;           1;7;           8;53;           6;40;          15;100;     481.8;;           7;32;2022;ALL;hispanic/latino
Attleboro - Peter Thacher Elementary School;00160050;MATH;           2;14;           1;7;           1;7;           5;36;           7;50;          14;95;     477.7;;           6;24;2022;ALL;hispanic/latino
Attleboro - Robert J. Coelho Middle School;00160305;ELA;          18;26;           1;1;          17;24;          44;63;           8;11;          70;100;     489.2;          47.6;          67;61;2022;ALL;hispanic/latino
Attleboro - Robert J. Coelho Middle School;00160305;MATH;          24;35;           1;1;          23;34;          39;57;           5;7;          68;99;     493.5;          57.3;          65;80;2022;ALL;hispanic/latino
Attleboro - Robert J. Coelho Middle School;00160305;SCI;          15;39;           3;8;          12;32;          20;53;           3;8;          38;98;     498.0;;;90;2022;ALL;hispanic/latino
Attleboro - Thomas Willett Elementary School;00160035;ELA;           3;16;           1;5;           2;11;           9;47;           7;37;          19;100;     480.0;;          11;23;2022;ALL;hispanic/latino
Attleboro - Thomas Willett Elementary School;00160035;MATH;           2;11;           0;0;           2;11;           8;42;           9;47;          19;100;     468.3;;          11;4;2022;ALL;hispanic/latino
Attleboro - Wamsutta Middle School;00160320;ELA;          19;22;           1;1;          18;21;          46;54;          20;24;          85;100;     485.0;          39.7;          81;45;2022;ALL;hispanic/latino
Attleboro - Wamsutta Middle School;00160320;MATH;          20;24;           0;0;          20;24;          51;60;          14;16;          85;100;     487.2;          52.2;          81;61;2022;ALL;hispanic/latino
Attleboro - Wamsutta Middle School;00160320;SCI;           9;20;           0;0;           9;20;          25;56;          11;24;          45;100;     485.8;;;60;2022;ALL;hispanic/latino
Auburn - Auburn Middle;00170305;ELA;          28;39;           0;0;          28;39;          31;43;          13;18;          72;99;     489.2;          50.5;          67;61;2022;ALL;hispanic/latino
Auburn - Auburn Middle;00170305;MATH;          17;23;           0;0;          17;23;          40;55;          16;22;          73;100;     485.3;          40.1;          67;55;2022;ALL;hispanic/latino
Auburn - Auburn Middle;00170305;SCI;          12;55;           1;5;          11;50;           7;32;           3;14;          22;100;     493.9;;;83;2022;ALL;hispanic/latino
Auburn - Swanson Road Intermediate School;00170030;ELA;          22;37;           1;2;          21;36;          31;53;           6;10;          59;100;     492.7;          43.2;          36;74;2022;ALL;hispanic/latino
Auburn - Swanson Road Intermediate School;00170030;MATH;          19;32;           1;2;          18;31;          30;51;          10;17;          59;100;     491.0;          50.1;          35;74;2022;ALL;hispanic/latino
Auburn - Swanson Road Intermediate School;00170030;SCI;          10;53;           1;5;           9;47;           9;47;           0;0;          19;100;     501.1;;;93;2022;ALL;hispanic/latino
Avon - Avon Middle High School;00180510;ELA;           1;8;           0;0;           1;8;           7;58;           4;33;          12;100;     474.1;;          12;6;2022;ALL;hispanic/latino
Avon - Avon Middle High School;00180510;MATH;           1;8;           0;0;           1;8;           7;58;           4;33;          12;100;     475.5;;          12;16;2022;ALL;hispanic/latino
Avon - Ralph D Butler;00180010;ELA;           5;19;           1;4;           4;15;          19;70;           3;11;          27;100;     488.6;          43.6;          21;59;2022;ALL;hispanic/latino
Avon - Ralph D Butler;00180010;MATH;           2;7;           0;0;           2;7;          18;67;           7;26;          27;100;     479.0;          48.9;          21;28;2022;ALL;hispanic/latino
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;ELA;          20;35;           2;4;          18;32;          27;47;          10;18;          57;100;     491.1;          57.6;          54;69;2022;ALL;hispanic/latino
