School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year ;grade;student_group
Berkshire Hills - Muddy Brook Regional Elementary School;06180035;ELA;          28;53;           4;8;          24;45;          23;43;           2;4;          53;95;     502.4;;;2021;4;ALL
Berkshire Hills - Muddy Brook Regional Elementary School;06180035;MATH;          27;51;           0;0;          27;51;          23;43;           3;6;          53;95;     498.0;;;2021;4;ALL
Berlin-Boylston - Berlin Memorial School;06200005;ELA;          21;70;           3;10;          18;60;           7;23;           2;7;          30;100;     506.1;;;2021;4;ALL
Berlin-Boylston - Berlin Memorial School;06200005;MATH;          10;33;           1;3;           9;30;          14;47;           6;20;          30;100;     490.5;;;2021;4;ALL
Berlin-Boylston - Boylston Elementary School;06200010;ELA;          19;56;           4;12;          15;44;          11;32;           4;12;          34;97;     503.4;;;2021;4;ALL
Berlin-Boylston - Boylston Elementary School;06200010;MATH;          13;38;           1;3;          12;35;          17;50;           4;12;          34;97;     495.0;;;2021;4;ALL
Beverly - Ayers/Ryal Side School;00300055;ELA;          28;51;           1;2;          27;49;          24;44;           3;5;          55;100;     500.2;;;2021;4;ALL
Beverly - Ayers/Ryal Side School;00300055;MATH;          21;38;           2;4;          19;35;          28;51;           6;11;          55;100;     493.9;;;2021;4;ALL
Beverly - Centerville Elementary;00300010;ELA;          65;64;           4;4;          61;60;          28;28;           8;8;         101;99;     501.6;;;2021;4;ALL
Beverly - Centerville Elementary;00300010;MATH;          48;48;           4;4;          44;44;          34;34;          19;19;         101;99;     495.4;;;2021;4;ALL
Beverly - Cove Elementary;00300015;ELA;          31;62;           5;10;          26;52;          16;32;           3;6;          50;100;     503.3;;;2021;4;ALL
Beverly - Cove Elementary;00300015;MATH;          24;48;           4;8;          20;40;          22;44;           4;8;          50;100;     498.1;;;2021;4;ALL
Beverly - Hannah Elementary;00300033;ELA;          21;54;           4;10;          17;44;          16;41;           2;5;          39;100;     502.2;;;2021;4;ALL
Beverly - Hannah Elementary;00300033;MATH;          19;49;           3;8;          16;41;          18;46;           2;5;          39;100;     498.7;;;2021;4;ALL
Beverly - North Beverly Elementary;00300040;ELA;          37;61;           9;15;          28;46;          17;28;           7;11;          61;100;     505.2;;;2021;4;ALL
Beverly - North Beverly Elementary;00300040;MATH;          42;71;           7;12;          35;59;          11;19;           6;10;          59;97;     510.5;;;2021;4;ALL
Billerica - Frederick J Dutile;00310007;ELA;          28;72;           5;13;          23;59;           9;23;           2;5;          39;100;     508.6;;;2021;4;ALL
Billerica - Frederick J Dutile;00310007;MATH;          21;54;           4;10;          17;44;          15;38;           3;8;          39;100;     505.0;;;2021;4;ALL
Billerica - Hajjar Elementary;00310026;ELA;          33;49;           5;7;          28;42;          28;42;           6;9;          67;99;     499.8;;;2021;4;ALL
Billerica - Hajjar Elementary;00310026;MATH;          32;47;           2;3;          30;44;          34;50;           2;3;          68;100;     497.6;;;2021;4;ALL
Billerica - John F Kennedy;00310012;ELA;          30;65;           6;13;          24;52;          15;33;           1;2;          46;100;     507.3;;;2021;4;ALL
Billerica - John F Kennedy;00310012;MATH;          23;50;           1;2;          22;48;          19;41;           4;9;          46;100;     495.9;;;2021;4;ALL
Billerica - Parker;00310015;ELA;          45;65;           4;6;          41;59;          19;28;           5;7;          69;100;     502.6;;;2021;4;ALL
Billerica - Parker;00310015;MATH;          34;49;           8;12;          26;38;          30;43;           5;7;          69;100;     503.1;;;2021;4;ALL
Billerica - Thomas Ditson;00310005;ELA;          61;52;           4;3;          57;48;          46;39;          11;9;         118;98;     498.7;;;2021;4;ALL
Billerica - Thomas Ditson;00310005;MATH;          43;36;           9;8;          34;29;          59;50;          17;14;         119;98;     492.7;;;2021;4;ALL
Blackstone-Millville - A F Maloney;06220015;ELA;          43;60;           6;8;          37;51;          26;36;           3;4;          72;100;     503.9;;;2021;4;ALL
Blackstone-Millville - A F Maloney;06220015;MATH;          26;36;           0;0;          26;36;          38;53;           8;11;          72;100;     491.9;;;2021;4;ALL
Blackstone-Millville - Millville Elementary;06220010;ELA;          14;45;           2;6;          12;39;          13;42;           4;13;          31;100;     493.4;;;2021;4;ALL
Blackstone-Millville - Millville Elementary;06220010;MATH;           6;19;           1;3;           5;16;          20;65;           5;16;          31;100;     484.0;;;2021;4;ALL
Boston - Adams Elementary School;00350302;ELA;           9;31;           1;3;           8;28;          13;45;           7;24;          29;100;     490.5;;;2021;4;ALL
Boston - Adams Elementary School;00350302;MATH;           5;17;           0;0;           5;17;          13;45;          11;38;          29;100;     478.1;;;2021;4;ALL
Boston - Alighieri Dante Montessori School;00350066;ELA;           6;60;           0;0;           6;60;           4;40;           0;0;          10;100;     505.1;;;2021;4;ALL
Boston - Alighieri Dante Montessori School;00350066;MATH;           5;50;           0;0;           5;50;           3;30;           2;20;          10;100;     491.6;;;2021;4;ALL
Boston - Bates Elementary School;00350278;ELA;           8;44;           0;0;           8;44;           9;50;           1;6;          18;66;     493.8;;;2021;4;ALL
Boston - Bates Elementary School;00350278;MATH;           9;45;           0;0;           9;45;           9;45;           2;10;          20;72;     492.5;;;2021;4;ALL
Boston - Blackstone Elementary School;00350390;ELA;           6;10;           1;2;           5;8;          27;44;          28;46;          61;77;     475.6;;;2021;4;ALL
Boston - Blackstone Elementary School;00350390;MATH;           0;0;           0;0;           0;0;          14;23;          46;77;          60;77;     456.8;;;2021;4;ALL
Boston - Boston Teachers Union K-8 Pilot;00350012;ELA;          15;63;           5;21;          10;42;           7;29;           2;8;          24;96;     506.3;;;2021;4;ALL
Boston - Boston Teachers Union K-8 Pilot;00350012;MATH;          13;59;           0;0;          13;59;           7;32;           2;9;          22;88;     495.1;;;2021;4;ALL
Boston - Bradley Elementary School;00350215;ELA;          26;67;           0;0;          26;67;          12;31;           1;3;          39;100;     501.3;;;2021;4;ALL
Boston - Bradley Elementary School;00350215;MATH;           9;24;           0;0;           9;24;          23;62;           5;14;          37;95;     488.1;;;2021;4;ALL
Boston - Channing Elementary School;00350360;ELA;           9;39;           2;9;           7;30;          10;43;           4;17;          23;100;     493.5;;;2021;4;ALL
Boston - Channing Elementary School;00350360;MATH;           2;9;           0;0;           2;9;          10;43;          11;48;          23;100;     469.2;;;2021;4;ALL
Boston - Chittick Elementary School;00350154;ELA;           9;31;           0;0;           9;31;          13;45;           7;24;          29;78;     486.3;;;2021;4;ALL
Boston - Chittick Elementary School;00350154;MATH;           2;6;           0;0;           2;6;          12;39;          17;55;          31;83;     465.9;;;2021;4;ALL
Boston - Clap Elementary School;00350298;ELA;           4;31;           0;0;           4;31;           5;38;           4;31;          13;81;     483.5;;;2021;4;ALL
Boston - Clap Elementary School;00350298;MATH;           0;0;           0;0;           0;0;           4;31;           9;69;          13;81;     464.0;;;2021;4;ALL
Boston - Condon K-8 School;00350146;ELA;          14;18;           1;1;          13;16;          37;47;          28;35;          79;98;     480.7;;;2021;4;ALL
Boston - Condon K-8 School;00350146;MATH;           4;5;           1;1;           3;4;          31;40;          43;55;          78;96;     467.3;;;2021;4;ALL
Boston - Conley Elementary School;00350122;ELA;           8;36;           0;0;           8;36;          11;50;           3;14;          22;92;     491.4;;;2021;4;ALL
Boston - Conley Elementary School;00350122;MATH;           5;22;           0;0;           5;22;           5;22;          13;57;          23;96;     476.1;;;2021;4;ALL
Boston - Curley K-8 School;00350020;ELA;          46;50;           6;7;          40;43;          16;17;          30;33;          92;98;     493.4;;;2021;4;ALL
Boston - Curley K-8 School;00350020;MATH;          29;32;           7;8;          22;24;          24;27;          37;41;          90;95;     482.9;;;2021;4;ALL
Boston - Dever Elementary School;00350268;ELA;          11;19;           0;0;          11;19;          29;49;          19;32;          59;100;     479.1;;;2021;4;ALL
Boston - Dever Elementary School;00350268;MATH;           6;10;           0;0;           6;10;          25;42;          28;47;          59;100;     471.4;;;2021;4;ALL
Boston - Edison K-8 School;00350375;ELA;           9;15;           1;2;           8;14;          31;53;          19;32;          59;98;     479.5;;;2021;4;ALL
Boston - Edison K-8 School;00350375;MATH;           2;3;           0;0;           2;3;          23;39;          34;58;          59;98;     464.8;;;2021;4;ALL
Boston - Eliot K-8 Innovation School;00350096;ELA;          72;87;          17;20;          55;66;          10;12;           1;1;          83;93;     518.2;;;2021;4;ALL
Boston - Eliot K-8 Innovation School;00350096;MATH;          68;82;          20;24;          48;58;          15;18;           0;0;          83;93;     517.9;;;2021;4;ALL
Boston - Ellis Elementary School;00350072;ELA;          11;22;           0;0;          11;22;          27;55;          11;22;          49;95;     485.1;;;2021;4;ALL
Boston - Ellis Elementary School;00350072;MATH;           3;6;           0;0;           3;6;          17;35;          29;59;          49;95;     466.6;;;2021;4;ALL
Boston - Everett Elementary School;00350088;ELA;          16;40;           1;3;          15;38;          19;48;           5;13;          40;100;     493.2;;;2021;4;ALL
Boston - Everett Elementary School;00350088;MATH;           5;13;           0;0;           5;13;          20;50;          15;38;          40;100;     475.4;;;2021;4;ALL
Boston - Gardner Pilot Academy;00350326;ELA;          14;38;           6;16;           8;22;          21;57;           2;5;          37;95;     500.6;;;2021;4;ALL
Boston - Gardner Pilot Academy;00350326;MATH;           5;13;           0;0;           5;13;          23;61;          10;26;          38;97;     478.8;;;2021;4;ALL
Boston - Greenwood Sarah K-8 School;00350308;ELA;           5;15;           0;0;           5;15;          15;44;          14;41;          34;100;     474.3;;;2021;4;ALL
Boston - Greenwood Sarah K-8 School;00350308;MATH;           1;3;           0;0;           1;3;           4;12;          29;85;          34;100;     454.9;;;2021;4;ALL
Boston - Grew Elementary School;00350135;ELA;          19;54;           0;0;          19;54;          15;43;           1;3;          35;100;     501.2;;;2021;4;ALL
Boston - Grew Elementary School;00350135;MATH;          10;29;           0;0;          10;29;          22;63;           3;9;          35;100;     489.9;;;2021;4;ALL
Boston - Guild Elementary School;00350062;ELA;           8;25;           0;0;           8;25;          17;53;           7;22;          32;97;     485.7;;;2021;4;ALL
Boston - Guild Elementary School;00350062;MATH;           5;16;           1;3;           4;13;          12;38;          15;47;          32;97;     475.1;;;2021;4;ALL
Boston - Hale Elementary School;00350243;ELA;          14;70;           2;10;          12;60;           3;15;           3;15;          20;96;     502.3;;;2021;4;ALL
Boston - Hale Elementary School;00350243;MATH;           6;32;           1;5;           5;26;          10;53;           3;16;          19;91;     490.5;;;2021;4;ALL
Boston - Haley Pilot School;00350077;ELA;          11;27;           0;0;          11;27;          18;44;          12;29;          41;96;     484.5;;;2021;4;ALL
Boston - Haley Pilot School;00350077;MATH;           2;5;           0;0;           2;5;          16;41;          21;54;          39;91;     462.6;;;2021;4;ALL
Boston - Harvard-Kent Elementary School;00350200;ELA;          13;28;           0;0;          13;28;          28;60;           6;13;          47;98;     488.5;;;2021;4;ALL
Boston - Harvard-Kent Elementary School;00350200;MATH;          11;24;           0;0;          11;24;          25;54;          10;22;          46;96;     484.5;;;2021;4;ALL
