School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Attleboro - Peter Thacher Elementary School;00160050;ELA;          12;40;           3;10;           9;30;          14;47;           4;13;          30;     497.7;;          12;62;2019;ALL;ever EL
Attleboro - Peter Thacher Elementary School;00160050;MATH;          12;40;           1;3;          11;37;          10;33;           8;27;          30;     489.7;;          12;38;2019;ALL;ever EL
Attleboro - Robert J. Coelho Middle School;00160305;ELA;          27;47;           2;3;          25;43;          26;45;           5;9;          58;     496.2;          56.4;          56;58;2019;ALL;ever EL
Attleboro - Robert J. Coelho Middle School;00160305;MATH;          26;45;           0;0;          26;45;          27;47;           5;9;          58;     495.6;          57.1;          56;56;2019;ALL;ever EL
Attleboro - Robert J. Coelho Middle School;00160305;SCI;          11;38;           1;3;          10;34;          15;52;           3;10;          29;     495.3;;;71;2019;ALL;ever EL
Attleboro - Thomas Willett Elementary School;00160035;ELA;          13;57;           3;13;          10;43;           9;39;           1;4;          23;     501.6;;          11;75;2019;ALL;ever EL
Attleboro - Thomas Willett Elementary School;00160035;MATH;           8;35;           0;0;           8;35;           9;39;           6;26;          23;     487.9;;          11;33;2019;ALL;ever EL
Attleboro - Wamsutta Middle School;00160320;ELA;          33;32;           4;4;          29;28;          57;55;          14;13;         104;     492.1;          42.9;         102;43;2019;ALL;ever EL
Attleboro - Wamsutta Middle School;00160320;MATH;          43;41;           3;3;          40;38;          50;48;          11;11;         104;     496.0;          59.3;         102;58;2019;ALL;ever EL
Attleboro - Wamsutta Middle School;00160320;SCI;          13;27;           1;2;          12;24;          31;63;           5;10;          49;     491.9;;;63;2019;ALL;ever EL
Auburn - Auburn Middle;00170305;ELA;          30;48;           7;11;          23;37;          25;40;           8;13;          63;     500.1;          59.7;          57;70;2019;ALL;ever EL
Auburn - Auburn Middle;00170305;MATH;          29;46;           7;11;          22;35;          27;43;           7;11;          63;     498.2;          51.4;          58;65;2019;ALL;ever EL
Auburn - Auburn Middle;00170305;SCI;           7;32;           0;0;           7;32;          12;55;           3;14;          22;     494.1;;;68;2019;ALL;ever EL
Auburn - Swanson Road Intermediate School;00170030;ELA;          26;43;           2;3;          24;40;          31;52;           3;5;          60;     499.5;          49.0;          33;68;2019;ALL;ever EL
Auburn - Swanson Road Intermediate School;00170030;MATH;          24;40;           2;3;          22;37;          31;52;           5;8;          60;     495.5;          52.3;          33;56;2019;ALL;ever EL
Auburn - Swanson Road Intermediate School;00170030;SCI;           6;50;           2;17;           4;33;           5;42;           1;8;          12;     500.1;;;82;2019;ALL;ever EL
Avon - Avon Middle High School;00180510;ELA;           4;25;           0;0;           4;25;          10;63;           2;13;          16;     489.3;;          15;34;2019;ALL;ever EL
Avon - Avon Middle High School;00180510;MATH;           6;38;           0;0;           6;38;          10;63;           0;0;          16;     498.1;;          15;65;2019;ALL;ever EL
Avon - Ralph D Butler;00180010;ELA;           4;22;           0;0;           4;22;          10;56;           4;22;          18;     484.9;;          13;19;2019;ALL;ever EL
Avon - Ralph D Butler;00180010;MATH;           6;33;           0;0;           6;33;           6;33;           6;33;          18;     485.6;;          13;26;2019;ALL;ever EL
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;ELA;           7;26;           0;0;           7;26;          15;56;           5;19;          27;     487.7;          54.3;          26;28;2019;ALL;ever EL
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;MATH;           8;30;           2;7;           6;22;          18;67;           1;4;          27;     493.6;          58.2;          26;51;2019;ALL;ever EL
Ayer Shirley School District - Page Hilltop Elementary School;06160002;ELA;          10;38;           2;8;           8;31;          15;58;           1;4;          26;     497.0;;          17;60;2019;ALL;ever EL
Ayer Shirley School District - Page Hilltop Elementary School;06160002;MATH;           8;31;           1;4;           7;27;          15;58;           3;12;          26;     490.2;;          17;40;2019;ALL;ever EL
Barnstable - Barnstable High;00200505;ELA;          17;26;           1;2;          16;24;          27;41;          22;33;          66;     483.2;          45.0;          56;14;2019;ALL;ever EL
Barnstable - Barnstable High;00200505;MATH;          13;20;           1;2;          12;18;          41;62;          12;18;          66;     487.3;          45.2;          57;32;2019;ALL;ever EL
Barnstable - Barnstable High;00200505;SCI;          15;22;           0;0;          15;22;          35;52;          17;25;          67;     485.8;;;45;2019;ALL;ever EL
Barnstable - Barnstable Intermediate School;00200315;ELA;          67;34;           8;4;          59;30;          77;39;          52;27;         196;     488.6;          54.9;         173;31;2019;ALL;ever EL
Barnstable - Barnstable Intermediate School;00200315;MATH;          68;35;           7;4;          61;31;          89;46;          38;19;         195;     489.7;          51.5;         174;38;2019;ALL;ever EL
Barnstable - Barnstable United Elementary School;00200050;ELA;          47;26;           4;2;          43;24;         110;61;          22;12;         179;     490.7;          40.2;         165;38;2019;ALL;ever EL
Barnstable - Barnstable United Elementary School;00200050;MATH;          58;32;           1;1;          57;32;          98;54;          24;13;         180;     489.6;          35.5;         166;38;2019;ALL;ever EL
Barnstable - Barnstable United Elementary School;00200050;SCI;          19;19;           0;0;          19;19;          54;55;          25;26;          98;     484.2;;;41;2019;ALL;ever EL
Barnstable - Centerville Elementary;00200010;ELA;           6;46;           1;8;           5;38;           6;46;           1;8;          13;     502.2;;;76;2019;ALL;ever EL
Barnstable - Centerville Elementary;00200010;MATH;           4;31;           0;0;           4;31;           7;54;           2;15;          13;     495.8;;;57;2019;ALL;ever EL
Barnstable - Hyannis West Elementary;00200025;ELA;          16;44;           1;3;          15;42;          15;42;           5;14;          36;     496.4;;;59;2019;ALL;ever EL
Barnstable - Hyannis West Elementary;00200025;MATH;          15;42;           2;6;          13;36;          15;42;           6;17;          36;     493.6;;;51;2019;ALL;ever EL
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School;04270010;ELA;           3;23;           0;0;           3;23;           8;62;           2;15;          13;     487.9;;;29;2019;ALL;ever EL
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School;04270010;MATH;           3;23;           0;0;           3;23;           7;54;           3;23;          13;     485.5;;;26;2019;ALL;ever EL
