School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Arlington - Peirce;00100045;ELA;           9;47;           0;0;           9;47;           7;37;           3;16;          19;90;     492.5;;           4;2021;ALL;students with disabilities
Arlington - Peirce;00100045;MATH;           8;42;           2;11;           6;32;           7;37;           4;21;          19;90;     491.0;;           4;2021;ALL;students with disabilities
Arlington - Thompson;00100050;ELA;          15;38;           2;5;          13;33;          17;44;           7;18;          39;87;     489.9;;          12;2021;ALL;students with disabilities
Arlington - Thompson;00100050;MATH;          12;30;           0;0;          12;30;          14;35;          14;35;          40;89;     481.8;;          12;2021;ALL;students with disabilities
Arlington - Thompson;00100050;SCI;           3;25;           0;0;           3;25;           6;50;           3;25;          12;88;     485.8;;;2021;ALL;students with disabilities
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          10;20;           0;0;          10;20;          35;69;           6;12;          51;96;     486.5;;          19;2021;ALL;students with disabilities
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;           7;14;           0;0;           7;14;          29;57;          15;29;          51;96;     480.4;;          19;2021;ALL;students with disabilities
Ashburnham-Westminster - Briggs Elementary;06100025;SCI;           8;42;           0;0;           8;42;           9;47;           2;11;          19;100;     492.7;;;2021;ALL;students with disabilities
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;          21;20;           2;2;          19;18;          54;51;          30;29;         105;95;     483.3;          43.8;          99;2021;ALL;students with disabilities
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;           9;9;           0;0;           9;9;          57;54;          39;37;         105;95;     477.9;          34.8;          99;2021;ALL;students with disabilities
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;           5;14;           0;0;           5;14;          25;71;           5;14;          35;92;     485.5;;;2021;ALL;students with disabilities
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;           8;16;           0;0;           8;16;          32;64;          10;20;          50;98;     484.7;;          12;2021;ALL;students with disabilities
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;          10;20;           0;0;          10;20;          24;48;          16;32;          50;98;     479.5;;          12;2021;ALL;students with disabilities
