School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Chelsea - Chelsea High;00570505;ELA;          90;27;           8;2;          82;25;         129;39;         115;34;         334;90;     482.9;          45.1;         232;2021;10;ALL
Chelsea - Chelsea High;00570505;MATH;          51;15;           0;0;          51;15;         175;52;         110;33;         336;90;     478.6;          34.3;         233;2021;10;ALL
Chicopee - Chicopee Comprehensive High School;00610510;ELA;         138;51;          17;6;         121;45;         111;41;          21;8;         270;98;     500.7;          50.5;         246;2021;10;ALL
Chicopee - Chicopee Comprehensive High School;00610510;MATH;         101;37;           9;3;          92;34;         138;51;          31;11;         270;98;     494.3;          24.1;         245;2021;10;ALL
Chicopee - Chicopee High;00610505;ELA;          77;38;          11;5;          66;32;          94;46;          34;17;         205;96;     492.7;          41.6;         183;2021;10;ALL
Chicopee - Chicopee High;00610505;MATH;          54;26;           2;1;          52;25;         106;52;          44;22;         204;96;     485.5;          20.9;         183;2021;10;ALL
City on a Hill Charter Public School (District) - City on a Hill Charter Public School;04370505;ELA;           8;19;           0;0;           8;19;          27;64;           7;17;          42;84;     484.8;          41.0;          25;2021;10;ALL
City on a Hill Charter Public School (District) - City on a Hill Charter Public School;04370505;MATH;           5;12;           0;0;           5;12;          24;57;          13;31;          42;84;     478.3;          22.3;          26;2021;10;ALL
Clinton - Clinton Senior High;00640505;ELA;          54;52;           7;7;          47;46;          37;36;          12;12;         103;92;     498.0;          44.6;          89;2021;10;ALL
Clinton - Clinton Senior High;00640505;MATH;          35;34;           2;2;          33;32;          53;52;          14;14;         102;91;     489.5;          43.1;          89;2021;10;ALL
Codman Academy Charter Public (District) - Codman Academy Charter Public School;04380505;ELA;           9;24;           0;0;           9;24;          26;68;           3;8;          38;97;     490.1;          47.3;          30;2021;10;ALL
Codman Academy Charter Public (District) - Codman Academy Charter Public School;04380505;MATH;           0;0;           0;0;           0;0;          26;68;          12;32;          38;97;     474.1;          25.6;          29;2021;10;ALL
Cohasset - Cohasset High School;00650505;ELA;         102;89;          40;35;          62;54;          12;10;           1;1;         115;99;     520.1;          65.3;         110;2021;10;ALL
Cohasset - Cohasset High School;00650505;MATH;          90;80;          12;11;          78;70;          19;17;           3;3;         112;97;     512.4;          55.2;         107;2021;10;ALL
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell;35030205;ELA;          18;55;           2;6;          16;48;          10;30;           5;15;          33;97;     498.6;          51.4;          24;2021;10;ALL
