School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Arlington - M Norcross Stratton;00100055;MATH;          15;35;           3;7;          12;28;          22;51;           6;14;          43;96;     494.0;          64.9;          29;95;2022;ALL;students with disabilities
Arlington - M Norcross Stratton;00100055;SCI;           7;41;           3;18;           4;24;           4;24;           6;35;          17;100;     495.0;;;93;2022;ALL;students with disabilities
Arlington - Ottoson Middle;00100410;ELA;          66;37;           3;2;          63;36;          71;40;          40;23;         177;97;     489.6;          55.3;         155;91;2022;ALL;students with disabilities
Arlington - Ottoson Middle;00100410;MATH;          63;36;           5;3;          58;33;          79;45;          33;19;         175;96;     491.6;          61.7;         153;92;2022;ALL;students with disabilities
Arlington - Ottoson Middle;00100410;SCI;          31;39;           5;6;          26;33;          33;42;          15;19;          79;98;     490.7;;;87;2022;ALL;students with disabilities
Arlington - Peirce;00100045;ELA;           5;16;           0;0;           5;16;          17;55;           9;29;          31;97;     480.8;;          18;66;2022;ALL;students with disabilities
Arlington - Peirce;00100045;MATH;           6;19;           0;0;           6;19;          15;48;          10;32;          31;97;     481.7;;          18;69;2022;ALL;students with disabilities
Arlington - Thompson;00100050;ELA;           9;21;           1;2;           8;19;          27;64;           6;14;          42;98;     488.9;          43.4;          26;89;2022;ALL;students with disabilities
Arlington - Thompson;00100050;MATH;          14;33;           1;2;          13;31;          22;52;           6;14;          42;98;     491.0;          50.7;          27;91;2022;ALL;students with disabilities
Arlington - Thompson;00100050;SCI;           4;22;           1;6;           3;17;          12;67;           2;11;          18;95;     486.7;;;78;2022;ALL;students with disabilities
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          16;31;           0;0;          16;31;          23;44;          13;25;          52;98;     484.4;          44.8;          28;76;2022;ALL;students with disabilities
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;          14;27;           0;0;          14;27;          18;35;          20;38;          52;98;     479.7;          34.9;          28;64;2022;ALL;students with disabilities
Ashburnham-Westminster - Briggs Elementary;06100025;SCI;           4;29;           0;0;           4;29;           8;57;           2;14;          14;100;     487.2;;;80;2022;ALL;students with disabilities
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;          10;11;           1;1;           9;9;          56;59;          29;31;          95;100;     479.2;          49.6;          87;60;2022;ALL;students with disabilities
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;          15;16;           0;0;          15;16;          50;53;          30;32;          95;100;     480.2;          45.1;          88;65;2022;ALL;students with disabilities
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;           4;11;           0;0;           4;11;          18;51;          13;37;          35;100;     476.7;;;48;2022;ALL;students with disabilities
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;           7;12;           0;0;           7;12;          33;57;          18;31;          58;98;     480.0;          34.9;          35;62;2022;ALL;students with disabilities
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;           9;16;           0;0;           9;16;          27;47;          22;38;          58;98;     478.5;          33.4;          35;59;2022;ALL;students with disabilities
Ashburnham-Westminster - Westminster Elementary;06100005;SCI;           4;17;           0;0;           4;17;          12;52;           7;30;          23;100;     480.1;;;58;2022;ALL;students with disabilities
Ashland - Ashland Middle;00140405;ELA;          21;16;           1;1;          20;15;          61;46;          50;38;         132;98;     477.9;          51.9;         126;54;2022;ALL;students with disabilities
Ashland - Ashland Middle;00140405;MATH;          14;11;           3;2;          11;8;          83;63;          34;26;         131;97;     479.4;          56.5;         125;63;2022;ALL;students with disabilities
Ashland - Ashland Middle;00140405;SCI;           5;10;           1;2;           4;8;          29;60;          14;29;          48;98;     479.1;;;55;2022;ALL;students with disabilities
Ashland - David Mindess;00140015;ELA;          29;19;           2;1;          27;18;          79;52;          44;29;         152;99;     483.3;          38.5;          89;73;2022;ALL;students with disabilities
Ashland - David Mindess;00140015;MATH;          30;20;           4;3;          26;17;          70;46;          52;34;         152;99;     481.4;          41.4;          89;68;2022;ALL;students with disabilities
Ashland - David Mindess;00140015;SCI;          17;33;           2;4;          15;29;          21;40;          14;27;          52;98;     487.2;;;80;2022;ALL;students with disabilities
Athol-Royalston - Athol Community Elementary School;06150020;ELA;           7;10;           0;0;           7;10;          26;39;          34;51;          67;97;     474.0;          38.4;          27;38;2022;ALL;students with disabilities
Athol-Royalston - Athol Community Elementary School;06150020;MATH;           5;8;           1;2;           4;6;          27;42;          33;51;          65;94;     469.9;          37.5;          26;27;2022;ALL;students with disabilities
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;           4;4;           0;0;           4;4;          31;30;          67;66;         102;95;     465.2;          32.8;          93;10;2022;ALL;students with disabilities
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;           5;5;           0;0;           5;5;          48;46;          51;49;         104;96;     472.7;          47.9;          94;37;2022;ALL;students with disabilities
