School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Attleboro - Peter Thacher Elementary School;00160050;MATH;          68;43;           5;3;          63;39;          64;40;          28;18;         160;99;     496.3;          61.2;          76;87;2022;ALL;title 1
Attleboro - Thomas Willett Elementary School;00160035;ELA;          48;35;           6;4;          42;30;          69;50;          22;16;         139;100;     492.2;          43.5;          61;67;2022;ALL;title 1
Attleboro - Thomas Willett Elementary School;00160035;MATH;          55;40;           7;5;          48;35;          54;39;          29;21;         138;99;     490.2;          43.9;          60;68;2022;ALL;title 1
Auburn - Auburn Middle;00170305;ELA;           0;0;           0;0;           0;0;          12;34;          23;66;          35;100;     464.7;          38.3;          30;2;2022;ALL;title 1
Auburn - Auburn Middle;00170305;MATH;           1;3;           0;0;           1;3;          12;34;          22;63;          35;100;     467.8;          38.9;          33;4;2022;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;ELA;          10;21;           0;0;          10;21;          33;70;           4;9;          47;100;     488.5;          46.0;          29;52;2022;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;MATH;           3;6;           0;0;           3;6;          34;72;          10;21;          47;100;     482.7;          49.8;          29;36;2022;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;SCI;           1;6;           0;0;           1;6;          13;76;           3;18;          17;100;     482.7;;;37;2022;ALL;title 1
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;ELA;         169;45;          26;7;         143;38;         150;40;          58;15;         377;100;     496.1;          53.6;         350;85;2022;ALL;title 1
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;MATH;         134;35;          12;3;         122;32;         210;56;          34;9;         378;100;     493.8;          50.4;         350;81;2022;ALL;title 1
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;SCI;          72;55;          13;10;          59;45;          53;40;           7;5;         132;98;     501.8;;;93;2022;ALL;title 1
Ayer Shirley School District - Lura A. White Elementary School;06160001;ELA;          49;33;           7;5;          42;28;          84;56;          17;11;         150;99;     493.1;          44.0;         104;72;2022;ALL;title 1
Ayer Shirley School District - Lura A. White Elementary School;06160001;MATH;          52;35;           7;5;          45;30;          74;49;          24;16;         150;99;     493.0;          55.1;         104;79;2022;ALL;title 1
Ayer Shirley School District - Lura A. White Elementary School;06160001;SCI;          34;58;           8;14;          26;44;          19;32;           6;10;          59;100;     502.3;;;94;2022;ALL;title 1
Ayer Shirley School District - Page Hilltop Elementary School;06160002;ELA;         116;53;           9;4;         107;49;          86;39;          17;8;         219;99;     499.8;          49.4;         137;94;2022;ALL;title 1
Ayer Shirley School District - Page Hilltop Elementary School;06160002;MATH;         111;50;           9;4;         102;46;          89;40;          20;9;         220;99;     499.2;          56.8;         137;93;2022;ALL;title 1
Ayer Shirley School District - Page Hilltop Elementary School;06160002;SCI;          40;59;           3;4;          37;54;          24;35;           4;6;          68;100;     503.4;;;96;2022;ALL;title 1
Barnstable - Barnstable Community Innovation School;00200012;ELA;          26;35;           5;7;          21;28;          40;53;           9;12;          75;100;     494.0;;;76;2022;ALL;title 1
Barnstable - Barnstable Community Innovation School;00200012;MATH;          20;27;           0;0;          20;27;          42;56;          13;17;          75;100;     487.6;;;58;2022;ALL;title 1
Barnstable - Barnstable United Elementary School;00200050;ELA;         181;27;           7;1;         174;26;         379;57;         103;16;         663;98;     489.2;          42.4;         605;55;2022;ALL;title 1
Barnstable - Barnstable United Elementary School;00200050;MATH;         157;24;           7;1;         150;23;         343;52;         159;24;         659;98;     485.3;          36.3;         591;45;2022;ALL;title 1
Barnstable - Barnstable United Elementary School;00200050;SCI;          91;30;          10;3;          81;26;         155;51;          60;20;         306;96;     489.5;;;61;2022;ALL;title 1
Barnstable - Hyannis West Elementary;00200025;ELA;          14;21;           1;1;          13;19;          38;57;          15;22;          67;99;     485.2;;;36;2022;ALL;title 1
Barnstable - Hyannis West Elementary;00200025;MATH;          14;22;           0;0;          14;22;          29;45;          22;34;          65;97;     481.0;;;30;2022;ALL;title 1
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;ELA;          29;15;           1;1;          28;15;         105;56;          55;29;         189;97;     480.9;          45.9;         178;20;2022;ALL;title 1
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;MATH;          19;10;           0;0;          19;10;         108;56;          66;34;         193;99;     476.7;          34.8;         180;15;2022;ALL;title 1
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;SCI;          11;16;           0;0;          11;16;          41;61;          15;22;          67;100;     483.0;;;38;2022;ALL;title 1
Bedford - Lt Job Lane School;00230012;ELA;          13;29;           0;0;          13;29;          29;64;           3;7;          45;100;     490.0;          47.6;          28;60;2022;ALL;title 1
Bedford - Lt Job Lane School;00230012;MATH;           7;16;           0;0;           7;16;          29;64;           9;20;          45;100;     483.1;          55.5;          28;37;2022;ALL;title 1
Bedford - Lt Job Lane School;00230012;SCI;           8;44;           1;6;           7;39;           6;33;           4;22;          18;100;     495.6;;;81;2022;ALL;title 1
Belchertown - Swift River Elementary;00240018;ELA;           0;0;           0;0;           0;0;          11;85;           2;15;          13;100;     481.0;;;20;2022;ALL;title 1
Belchertown - Swift River Elementary;00240018;MATH;           1;8;           0;0;           1;8;           5;38;           7;54;          13;100;     471.2;;;6;2022;ALL;title 1
Bellingham - Joseph F DiPietro Elementary School;00250020;ELA;          33;45;           1;1;          32;43;          32;43;           9;12;          74;100;     495.4;;;82;2022;ALL;title 1
Bellingham - Joseph F DiPietro Elementary School;00250020;MATH;          33;45;           3;4;          30;41;          29;40;          11;15;          73;99;     494.1;;;81;2022;ALL;title 1
Bellingham - Stall Brook;00250025;ELA;          23;43;           3;6;          20;37;          22;41;           9;17;          54;100;     495.3;;;82;2022;ALL;title 1
Bellingham - Stall Brook;00250025;MATH;          25;46;           3;6;          22;41;          22;41;           7;13;          54;100;     494.7;;;82;2022;ALL;title 1
Belmont - Roger E Wellington;00260035;ELA;           6;40;           0;0;           6;40;           8;53;           1;7;          15;100;     493.1;;           5;72;2022;ALL;title 1
Belmont - Roger E Wellington;00260035;MATH;           9;60;           3;20;           6;40;           3;20;           3;20;          15;100;     499.0;;           5;92;2022;ALL;title 1
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;ELA;         124;72;          37;22;          87;51;          42;24;           6;3;         172;100;     512.9;          64.1;         128;99;2022;ALL;title 1
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;MATH;         133;77;          32;19;         101;59;          30;17;           9;5;         172;100;     512.8;          65.2;         128;99;2022;ALL;title 1
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;SCI;          31;69;           7;16;          24;53;          12;27;           2;4;          45;100;     510.6;;;99;2022;ALL;title 1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;ELA;          23;26;           1;1;          22;24;          49;54;          18;20;          90;100;     486.9;          46.0;          74;45;2022;ALL;title 1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;MATH;          14;16;           0;0;          14;16;          68;76;           8;9;          90;100;     485.8;          40.2;          74;49;2022;ALL;title 1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;SCI;           8;32;           0;0;           8;32;          14;56;           3;12;          25;100;     492.2;;;69;2022;ALL;title 1
Berkley - Berkley Community School;00270010;ELA;          63;39;           7;4;          56;35;          82;51;          16;10;         161;100;     496.5;          51.3;          75;86;2022;ALL;title 1
Berkley - Berkley Community School;00270010;MATH;          59;37;           4;2;          55;34;          80;50;          22;14;         161;100;     492.8;          45.4;          75;78;2022;ALL;title 1
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;ELA;          87;45;          11;6;          76;40;          76;40;          29;15;         192;98;     495.8;          50.0;         166;85;2022;ALL;title 1
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;MATH;          56;29;           4;2;          52;27;         108;56;          28;15;         192;98;     489.3;          42.9;         164;66;2022;ALL;title 1
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;SCI;          25;40;           1;2;          24;39;          30;48;           7;11;          62;98;     494.0;;;80;2022;ALL;title 1
