School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;           2;15;           0;0;           2;15;           7;54;           4;31;          13;100;     477.4;;          12;7;2022;ALL;multi-race
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;          10;33;           1;3;           9;30;          16;53;           4;13;          30;100;     490.8;          39.7;          25;26;2022;ALL;multi-race
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;           4;13;           1;3;           3;10;          23;77;           3;10;          30;100;     487.1;          33.2;          25;24;2022;ALL;multi-race
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;          16;35;           1;2;          15;33;          22;48;           8;17;          46;100;     492.3;          43.5;          41;30;2022;ALL;multi-race
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;          16;35;           1;2;          15;33;          22;48;           8;17;          46;100;     493.4;          47.0;          41;41;2022;ALL;multi-race
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;           7;29;           1;4;           6;25;          10;42;           7;29;          24;100;     485.6;;;19;2022;ALL;multi-race
Attleboro - Hyman Fine Elementary School;00160040;ELA;           7;41;           3;18;           4;24;           9;53;           1;6;          17;100;     499.8;;           9;54;2022;ALL;multi-race
Attleboro - Hyman Fine Elementary School;00160040;MATH;           4;24;           1;6;           3;18;          11;65;           2;12;          17;100;     488.4;;           9;27;2022;ALL;multi-race
Attleboro - Peter Thacher Elementary School;00160050;ELA;           9;75;           1;8;           8;67;           3;25;           0;0;          12;100;     506.1;;           5;71;2022;ALL;multi-race
Attleboro - Peter Thacher Elementary School;00160050;MATH;          10;83;           1;8;           9;75;           2;17;           0;0;          12;100;     512.2;;           5;83;2022;ALL;multi-race
Attleboro - Robert J. Coelho Middle School;00160305;ELA;          16;40;           0;0;          16;40;          20;50;           4;10;          40;100;     493.8;          50.9;          39;36;2022;ALL;multi-race
Attleboro - Robert J. Coelho Middle School;00160305;MATH;          20;50;           1;3;          19;48;          15;38;           5;13;          40;100;     497.7;          56.4;          39;52;2022;ALL;multi-race
Attleboro - Robert J. Coelho Middle School;00160305;SCI;          13;57;           3;13;          10;43;           9;39;           1;4;          23;100;     503.8;;;65;2022;ALL;multi-race
Attleboro - Thomas Willett Elementary School;00160035;ELA;           4;33;           0;0;           4;33;           6;50;           2;17;          12;100;     491.3;;           6;28;2022;ALL;multi-race
Attleboro - Thomas Willett Elementary School;00160035;MATH;           3;25;           0;0;           3;25;           8;67;           1;8;          12;100;     492.8;;           6;39;2022;ALL;multi-race
Attleboro - Wamsutta Middle School;00160320;ELA;          18;37;           2;4;          16;33;          25;51;           6;12;          49;100;     493.3;          46.9;          47;34;2022;ALL;multi-race
