School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Andover - Henry C Sanborn Elementary;00090010;SCI;          16;80;           6;30;          10;50;           4;20;           0;0;          20;     517.6;;;97;2019;ALL;female
Andover - High Plain Elementary;00090004;ELA;         116;85;          53;39;          63;46;          19;14;           1;1;         136;     523.9;          69.4;          91;98;2019;ALL;female
Andover - High Plain Elementary;00090004;MATH;         102;74;          30;22;          72;53;          32;23;           3;2;         137;     514.1;          71.8;          92;94;2019;ALL;female
Andover - High Plain Elementary;00090004;SCI;          48;81;          21;36;          27;46;          11;19;           0;0;          59;     519.0;;;98;2019;ALL;female
Andover - South Elementary;00090020;ELA;         109;83;          31;24;          78;60;          22;17;           0;0;         131;     517.7;          53.9;          74;88;2019;ALL;female
Andover - South Elementary;00090020;MATH;          95;73;          17;13;          78;60;          35;27;           1;1;         131;     509.7;          63.7;          74;86;2019;ALL;female
Andover - South Elementary;00090020;SCI;          39;80;           9;18;          30;61;          10;20;           0;0;          49;     513.9;;;93;2019;ALL;female
Andover - West Elementary;00090025;ELA;         122;77;          43;27;          79;50;          32;20;           4;3;         158;     516.9;          62.3;         100;87;2019;ALL;female
Andover - West Elementary;00090025;MATH;         101;64;          25;16;          76;48;          50;32;           7;4;         158;     509.2;          67.1;         101;84;2019;ALL;female
Andover - West Elementary;00090025;SCI;          44;73;          14;23;          30;50;          15;25;           1;2;          60;     515.4;;;95;2019;ALL;female
Andover - Wood Hill Middle School;00090350;ELA;         151;77;          46;23;         105;53;          40;20;           6;3;         197;     514.5;          55.0;         191;82;2019;ALL;female
Andover - Wood Hill Middle School;00090350;MATH;         143;73;          55;28;          88;45;          49;25;           5;3;         197;     513.8;          53.3;         191;93;2019;ALL;female
Andover - Wood Hill Middle School;00090350;SCI;          55;75;          15;21;          40;55;          16;22;           2;3;          73;     512.6;;;90;2019;ALL;female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          53;37;           4;3;          49;34;          72;50;          18;13;         143;     492.3;          43.0;         125;10;2019;ALL;female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          54;38;           5;3;          49;34;          76;53;          13;9;         143;     494.9;          56.1;         125;30;2019;ALL;female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           6;13;           0;0;           6;13;          26;57;          14;30;          46;     481.9;;;10;2019;ALL;female
Arlington - Brackett;00100010;ELA;          89;78;          24;21;          65;57;          21;18;           4;4;         114;     516.0;          47.6;          74;85;2019;ALL;female
Arlington - Brackett;00100010;MATH;          72;63;          12;10;          60;52;          39;34;           4;3;         115;     508.0;          55.5;          77;81;2019;ALL;female
Arlington - Brackett;00100010;SCI;          24;62;           4;10;          20;51;          12;31;           3;8;          39;     506.7;;;76;2019;ALL;female
Arlington - Cyrus E Dallin;00100025;ELA;          83;69;          26;21;          57;47;          36;30;           2;2;         121;     513.8;          58.3;          82;80;2019;ALL;female
Arlington - Cyrus E Dallin;00100025;MATH;          82;68;          17;14;          65;54;          35;29;           4;3;         121;     508.4;          58.4;          82;82;2019;ALL;female
Arlington - Cyrus E Dallin;00100025;SCI;          33;75;           8;18;          25;57;          10;23;           1;2;          44;     511.8;;;89;2019;ALL;female
Arlington - Gibbs School;00100305;ELA;         167;81;          62;30;         105;51;          29;14;           9;4;         205;     518.4;          55.4;         197;90;2019;ALL;female
