School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;          50;37;           2;1;          48;35;          78;57;           8;6;         136;99;     494.9;          39.5;          54;2021;ALL;male
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;          41;30;           1;1;          40;29;          82;60;          13;10;         136;99;     491.0;          42.5;          54;2021;ALL;male
Ashburnham-Westminster - Westminster Elementary;06100005;SCI;          24;44;           2;4;          22;40;          29;53;           2;4;          55;100;     495.2;;;2021;ALL;male
Ashland - Ashland Middle;00140405;ELA;         145;45;          26;8;         119;37;         129;40;          50;15;         324;97;     496.2;          40.6;         299;2021;ALL;male
Ashland - Ashland Middle;00140405;MATH;         155;47;          35;11;         120;37;         122;37;          51;16;         328;99;     498.5;          42.8;         301;2021;ALL;male
Ashland - Ashland Middle;00140405;SCI;          55;57;          13;13;          42;43;          29;30;          13;13;          97;98;     503.1;;;2021;ALL;male
Ashland - David Mindess;00140015;ELA;         183;60;          27;9;         156;51;          92;30;          29;10;         304;99;     502.8;          43.6;          95;2021;ALL;male
Ashland - David Mindess;00140015;MATH;         161;53;          35;12;         126;41;         100;33;          43;14;         304;99;     500.1;          48.3;          95;2021;ALL;male
Ashland - David Mindess;00140015;SCI;          57;57;           8;8;          49;49;          31;31;          12;12;         100;98;     501.6;;;2021;ALL;male
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          35;38;           2;2;          33;35;          45;48;          13;14;          93;96;     491.8;;;2021;ALL;male
Athol-Royalston - Athol Community Elementary School;06150020;MATH;          25;27;           3;3;          22;23;          48;51;          21;22;          94;97;     484.6;;;2021;ALL;male
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;          46;20;           3;1;          43;19;          98;43;          82;36;         226;98;     480.0;          28.2;         219;2021;ALL;male
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;          39;17;           4;2;          35;16;         121;54;          65;29;         225;97;     480.8;          29.1;         219;2021;ALL;male
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;          27;33;           5;6;          22;27;          35;43;          20;24;          82;94;     489.4;;;2021;ALL;male
Athol-Royalston - Royalston Community School;06150050;ELA;          14;45;           3;10;          11;35;          16;52;           1;3;          31;100;     502.3;;          12;2021;ALL;male
Athol-Royalston - Royalston Community School;06150050;MATH;          17;55;           1;3;          16;52;          12;39;           2;6;          31;100;     500.1;;          12;2021;ALL;male
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;          96;32;           7;2;          89;30;         142;47;          63;21;         301;100;     487.9;          28.1;         186;2021;ALL;male
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;          65;22;           2;1;          63;21;         164;54;          72;24;         301;100;     483.3;          23.6;         186;2021;ALL;male
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;          28;33;           3;4;          25;29;          38;45;          19;22;          85;100;     487.2;;;2021;ALL;male
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          34;52;           2;3;          32;48;          28;42;           4;6;          66;100;     499.2;;;2021;ALL;male
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          25;38;           2;3;          23;35;          30;45;          11;17;          66;100;     490.5;;;2021;ALL;male
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;          91;29;          11;4;          80;26;         132;43;          87;28;         310;96;     488.3;          28.8;         271;2021;ALL;male
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;          78;25;           9;3;          69;22;         147;48;          84;27;         309;96;     486.7;          24.5;         270;2021;ALL;male
