School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Arlington - Peirce;00100045;SCI;          25;81;           6;19;          19;61;           6;19;           0;0;          31;100;     512.5;;;86;2022;ALL;non-disabled
Arlington - Thompson;00100050;ELA;         133;70;          34;18;          99;52;          55;29;           2;1;         190;98;     511.3;          59.7;         107;88;2022;ALL;non-disabled
Arlington - Thompson;00100050;MATH;         139;73;          41;22;          98;52;          46;24;           5;3;         190;98;     512.7;          59.1;         106;89;2022;ALL;non-disabled
Arlington - Thompson;00100050;SCI;          44;62;          12;17;          32;45;          22;31;           5;7;          71;96;     508.2;;;76;2022;ALL;non-disabled
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          94;49;           6;3;          88;46;          94;49;           4;2;         192;100;     499.9;          45.8;         125;51;2022;ALL;non-disabled
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;         102;53;          10;5;          92;48;          85;44;           5;3;         192;100;     502.2;          47.7;         125;61;2022;ALL;non-disabled
Ashburnham-Westminster - Briggs Elementary;06100025;SCI;          32;48;           5;7;          27;40;          30;45;           5;7;          67;99;     498.0;;;43;2022;ALL;non-disabled
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;         285;61;          44;9;         241;52;         168;36;          13;3;         466;99;     505.3;          63.3;         451;72;2022;ALL;non-disabled
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;         248;53;          15;3;         233;50;         216;46;           3;1;         467;100;     501.1;          61.6;         451;58;2022;ALL;non-disabled
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;          82;53;           5;3;          77;50;          69;45;           3;2;         154;99;     500.2;;;50;2022;ALL;non-disabled
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;          98;43;           0;0;          98;43;         120;53;           8;4;         226;100;     497.1;          43.5;         132;41;2022;ALL;non-disabled
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;          96;42;           5;2;          91;40;         114;50;          16;7;         226;100;     496.4;          45.3;         132;45;2022;ALL;non-disabled
Ashburnham-Westminster - Westminster Elementary;06100005;SCI;          33;50;           1;2;          32;48;          30;45;           3;5;          66;100;     497.5;;;42;2022;ALL;non-disabled
Ashland - Ashland Middle;00140405;ELA;         364;68;          94;18;         270;51;         144;27;          25;5;         533;98;     508.8;          62.8;         509;83;2022;ALL;non-disabled
Ashland - Ashland Middle;00140405;MATH;         385;72;         102;19;         283;53;         144;27;           7;1;         536;99;     512.3;          68.5;         510;88;2022;ALL;non-disabled
Ashland - Ashland Middle;00140405;SCI;         123;70;          19;11;         104;59;          47;27;           5;3;         175;99;     507.3;;;73;2022;ALL;non-disabled
Ashland - David Mindess;00140015;ELA;         279;61;          21;5;         258;56;         172;37;           9;2;         460;99;     503.8;          51.5;         299;66;2022;ALL;non-disabled
Ashland - David Mindess;00140015;MATH;         279;61;          37;8;         242;53;         163;35;          18;4;         460;100;     504.8;          53.6;         299;70;2022;ALL;non-disabled
Ashland - David Mindess;00140015;SCI;         105;67;          14;9;          91;58;          50;32;           2;1;         157;99;     507.3;;;73;2022;ALL;non-disabled
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          40;30;           2;2;          38;29;          80;60;          13;10;         133;100;     491.7;          34.0;          69;24;2022;ALL;non-disabled
Athol-Royalston - Athol Community Elementary School;06150020;MATH;          54;41;           5;4;          49;37;          63;47;          16;12;         133;100;     494.4;          49.6;          69;38;2022;ALL;non-disabled
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;          72;24;           5;2;          67;22;         170;56;          60;20;         302;97;     487.0;          42.5;         284;14;2022;ALL;non-disabled
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;          70;23;           1;0;          69;23;         198;65;          35;12;         303;98;     488.2;          47.6;         289;22;2022;ALL;non-disabled
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;          53;33;           5;3;          48;30;          92;57;          17;10;         162;93;     492.7;;;30;2022;ALL;non-disabled
Athol-Royalston - Royalston Community School;06150050;ELA;          35;58;           3;5;          32;53;          23;38;           2;3;          60;100;     501.6;          50.0;          41;59;2022;ALL;non-disabled
Athol-Royalston - Royalston Community School;06150050;MATH;          33;55;           3;5;          30;50;          21;35;           6;10;          60;100;     498.7;          42.1;          41;52;2022;ALL;non-disabled
Athol-Royalston - Royalston Community School;06150050;SCI;           7;44;           1;6;           6;38;           8;50;           1;6;          16;100;     499.6;;;48;2022;ALL;non-disabled
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;         225;39;          24;4;         201;35;         289;51;          58;10;         572;100;     494.8;          50.3;         462;34;2022;ALL;non-disabled
