School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Ashland - Ashland Middle;00140405;ELA;          43;27;           3;2;          40;25;          75;46;          44;27;         162;97;     484.7;          55.2;         151;33;2022;ALL;low-income
Ashland - Ashland Middle;00140405;MATH;          39;24;           5;3;          34;21;         100;61;          26;16;         165;99;     488.0;          64.1;         152;60;2022;ALL;low-income
Ashland - Ashland Middle;00140405;SCI;          18;31;           1;2;          17;29;          28;48;          12;21;          58;98;     487.0;;;51;2022;ALL;low-income
Ashland - David Mindess;00140015;ELA;          34;24;           4;3;          30;22;          69;50;          36;26;         139;99;     485.2;          42.9;          80;36;2022;ALL;low-income
Ashland - David Mindess;00140015;MATH;          30;22;           2;1;          28;20;          70;50;          39;28;         139;100;     481.0;          46.8;          80;28;2022;ALL;low-income
Ashland - David Mindess;00140015;SCI;          14;35;           0;0;          14;35;          18;45;           8;20;          40;98;     489.4;;;61;2022;ALL;low-income
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          31;22;           0;0;          31;22;          68;49;          40;29;         139;99;     483.7;          36.1;          68;29;2022;ALL;low-income
Athol-Royalston - Athol Community Elementary School;06150020;MATH;          33;24;           3;2;          30;22;          64;47;          40;29;         137;97;     482.9;          42.2;          67;36;2022;ALL;low-income
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;          46;16;           3;1;          43;15;         143;49;         102;35;         291;96;     479.4;          38.3;         271;14;2022;ALL;low-income
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;          41;14;           1;0;          40;14;         180;61;          72;25;         293;97;     482.0;          47.4;         274;32;2022;ALL;low-income
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;          40;26;           5;3;          35;23;          84;55;          28;18;         152;93;     489.0;;;59;2022;ALL;low-income
Athol-Royalston - Royalston Community School;06150050;ELA;          17;43;           0;0;          17;43;          16;40;           7;18;          40;100;     491.8;          43.5;          24;71;2022;ALL;low-income
Athol-Royalston - Royalston Community School;06150050;MATH;          15;38;           1;3;          14;35;          17;43;           8;20;          40;100;     489.1;          40.0;          24;65;2022;ALL;low-income
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;         125;29;          15;3;         110;26;         230;54;          74;17;         429;100;     488.9;          48.2;         343;57;2022;ALL;low-income
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;          89;21;           2;0;          87;20;         256;60;          84;20;         429;100;     485.3;          44.1;         343;47;2022;ALL;low-income
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;          40;28;           3;2;          37;26;          70;49;          34;24;         144;100;     486.9;;;53;2022;ALL;low-income
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          21;35;           1;2;          20;33;          32;53;           7;12;          60;100;     494.5;          56.4;          33;82;2022;ALL;low-income
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          20;34;           0;0;          20;34;          30;51;           9;15;          59;98;     489.6;          52.7;          33;67;2022;ALL;low-income
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;          76;26;           4;1;          72;24;         145;49;          77;26;         298;100;     485.7;          42.7;         269;39;2022;ALL;low-income
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;          60;20;           1;0;          59;20;         162;54;          77;26;         299;100;     485.3;          45.7;         271;47;2022;ALL;low-income
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;          24;17;           1;1;          23;16;          76;53;          44;31;         144;100;     482.1;;;32;2022;ALL;low-income
Attleboro - Hill-Roberts Elementary School;00160045;ELA;          24;32;           1;1;          23;30;          40;53;          12;16;          76;100;     490.2;          33.6;          36;63;2022;ALL;low-income
Attleboro - Hill-Roberts Elementary School;00160045;MATH;          30;40;           0;0;          30;40;          34;45;          11;15;          75;100;     489.8;          54.5;          36;68;2022;ALL;low-income
Attleboro - Hyman Fine Elementary School;00160040;ELA;          19;25;           2;3;          17;22;          40;53;          17;22;          76;100;     486.5;          47.1;          38;43;2022;ALL;low-income
