school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Arlington - M Norcross Stratton,00100055,ELA,          67,63,           4,4,          63,59,          32,30,           8,7,         107,97,     504.5,          56.0,          65,89,2022,ALL,male
Arlington - M Norcross Stratton,00100055,MATH,          73,70,          27,26,          46,44,          25,24,           7,7,         105,96,     514.0,          68.5,          66,95,2022,ALL,male
Arlington - M Norcross Stratton,00100055,SCI,          25,74,           5,15,          20,59,           6,18,           3,9,          34,97,     511.9,,,91,2022,ALL,male
Arlington - Ottoson Middle,00100410,ELA,         318,68,          54,11,         264,56,         116,25,          36,8,         470,99,     506.4,          58.2,         435,93,2022,ALL,male
Arlington - Ottoson Middle,00100410,MATH,         351,75,         114,24,         237,50,         101,21,          19,4,         471,99,     513.8,          68.3,         435,94,2022,ALL,male
Arlington - Ottoson Middle,00100410,SCI,         165,75,          54,24,         111,50,          44,20,          12,5,         221,98,     512.0,,,91,2022,ALL,male
Arlington - Peirce,00100045,ELA,          40,49,           2,2,          38,46,          37,45,           5,6,          82,98,     497.3,          46.0,          50,69,2022,ALL,male
Arlington - Peirce,00100045,MATH,          43,52,           7,8,          36,43,          33,40,           7,8,          83,99,     502.8,          57.5,          51,74,2022,ALL,male
Arlington - Peirce,00100045,SCI,          18,75,           3,13,          15,63,           6,25,           0,0,          24,100,     508.1,,,84,2022,ALL,male
Arlington - Thompson,00100050,ELA,          68,63,          15,14,          53,49,          37,34,           3,3,         108,97,     507.3,          58.9,          58,95,2022,ALL,male
Arlington - Thompson,00100050,MATH,          76,70,          22,20,          54,50,          25,23,           7,6,         108,98,     510.7,          56.7,          58,91,2022,ALL,male
Arlington - Thompson,00100050,SCI,          24,62,           7,18,          17,44,          12,31,           3,8,          39,95,     507.9,,,83,2022,ALL,male
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,          50,41,           1,1,          49,40,          62,50,          11,9,         123,99,     494.0,          44.5,          74,57,2022,ALL,male
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,          61,50,           7,6,          54,44,          49,40,          13,11,         123,99,     498.6,          45.2,          74,62,2022,ALL,male
Ashburnham-Westminster - Briggs Elementary,06100025,SCI,          20,48,           2,5,          18,43,          18,43,           4,10,          42,100,     496.2,,,50,2022,ALL,male
Ashburnham-Westminster - Overlook Middle School,06100305,ELA,         134,47,          16,6,         118,41,         124,43,          29,10,         287,99,     497.6,          59.9,         279,70,2022,ALL,male
Ashburnham-Westminster - Overlook Middle School,06100305,MATH,         142,49,          10,3,         132,46,         127,44,          20,7,         289,100,     498.3,          58.6,         282,61,2022,ALL,male
