school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Arlington - Thompson,00100050,ELA,          15,56,           5,19,          10,37,           8,30,           4,15,          27,93,     501.4,,           5,2021,ALL,hispanic/latino
Arlington - Thompson,00100050,MATH,          13,46,           0,0,          13,46,           5,18,          10,36,          28,97,     487.4,,           5,2021,ALL,hispanic/latino
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,           2,18,           0,0,           2,18,           8,73,           1,9,          11,100,     486.2,,           5,2021,ALL,hispanic/latino
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,           1,9,           0,0,           1,9,           8,73,           2,18,          11,100,     483.4,,           5,2021,ALL,hispanic/latino
Ashburnham-Westminster - Overlook Middle School,06100305,ELA,          25,64,           3,8,          22,56,          11,28,           3,8,          39,100,     505.0,          57.6,          39,2021,ALL,hispanic/latino
Ashburnham-Westminster - Overlook Middle School,06100305,MATH,          15,38,           0,0,          15,38,          16,41,           8,21,          39,100,     490.2,          31.2,          39,2021,ALL,hispanic/latino
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,          10,53,           1,5,           9,47,           9,47,           0,0,          19,100,     502.8,,           4,2021,ALL,hispanic/latino
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,           6,32,           0,0,           6,32,           9,47,           4,21,          19,100,     487.5,,           4,2021,ALL,hispanic/latino
Ashland - Ashland Middle,00140405,ELA,          20,23,           2,2,          18,21,          42,48,          25,29,          87,95,     483.7,          39.7,          74,2021,ALL,hispanic/latino
Ashland - Ashland Middle,00140405,MATH,          17,19,           0,0,          17,19,          47,52,          27,30,          91,99,     482.1,          38.5,          76,2021,ALL,hispanic/latino
Ashland - Ashland Middle,00140405,SCI,           5,19,           1,4,           4,15,          11,42,          10,38,          26,93,     480.7,,,2021,ALL,hispanic/latino
Ashland - David Mindess,00140015,ELA,          29,34,           1,1,          28,33,          41,48,          15,18,          85,98,     489.7,          39.2,          25,2021,ALL,hispanic/latino
Ashland - David Mindess,00140015,MATH,          24,28,           1,1,          23,27,          34,40,          27,32,          85,98,     481.6,          37.0,          25,2021,ALL,hispanic/latino
Ashland - David Mindess,00140015,SCI,           8,29,           0,0,           8,29,          15,54,           5,18,          28,95,     488.7,,,2021,ALL,hispanic/latino
Athol-Royalston - Athol Community Elementary School,06150020,ELA,           5,28,           0,0,           5,28,           8,44,           5,28,          18,96,     486.3,,,2021,ALL,hispanic/latino
Athol-Royalston - Athol Community Elementary School,06150020,MATH,           5,28,           1,6,           4,22,           8,44,           5,28,          18,96,     482.0,,,2021,ALL,hispanic/latino
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,          13,29,           1,2,          12,27,          20,44,          12,27,          45,100,     484.2,          32.1,          43,2021,ALL,hispanic/latino
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,           8,18,           0,0,           8,18,          24,53,          13,29,          45,100,     480.5,          34.7,          44,2021,ALL,hispanic/latino
