school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Beverly - Beverly Middle School,00300305,SCI,           5,25,           3,15,           2,10,           8,40,           7,35,          20,     489.8,,,67,2019,ALL,afr.american/black
Billerica - Hajjar Elementary,00310026,ELA,           7,37,           0,0,           7,37,          10,53,           2,11,          19,     491.7,,          14,42,2019,ALL,afr.american/black
Billerica - Hajjar Elementary,00310026,MATH,           4,21,           0,0,           4,21,          11,58,           4,21,          19,     484.6,,          14,29,2019,ALL,afr.american/black
Billerica - Locke Middle,00310310,ELA,           5,31,           0,0,           5,31,          11,69,           0,0,          16,     498.8,,          16,75,2019,ALL,afr.american/black
Billerica - Locke Middle,00310310,MATH,           6,38,           0,0,           6,38,           9,56,           1,6,          16,     496.9,,          16,84,2019,ALL,afr.american/black
Billerica - Marshall Middle School,00310305,ELA,           9,33,           1,4,           8,30,          12,44,           6,22,          27,     490.9,          48.6,          27,39,2019,ALL,afr.american/black
Billerica - Marshall Middle School,00310305,MATH,           9,33,           0,0,           9,33,          14,52,           4,15,          27,     492.0,          52.7,          27,63,2019,ALL,afr.american/black
Billerica - Parker,00310015,ELA,           4,29,           0,0,           4,29,          10,71,           0,0,          14,     497.5,,           9,70,2019,ALL,afr.american/black
Billerica - Parker,00310015,MATH,           6,43,           2,14,           4,29,           7,50,           1,7,          14,     497.6,,           9,86,2019,ALL,afr.american/black
Billerica - Thomas Ditson,00310005,ELA,           9,69,           2,15,           7,54,           4,31,           0,0,          13,     508.2,,           5,96,2019,ALL,afr.american/black
Billerica - Thomas Ditson,00310005,MATH,           6,46,           1,8,           5,38,           6,46,           1,8,          13,     500.3,,           5,92,2019,ALL,afr.american/black
Boston - Bates Elementary School,00350278,ELA,          10,32,           1,3,           9,29,          14,45,           7,23,          31,     490.8,          42.1,          22,38,2019,ALL,afr.american/black
Boston - Bates Elementary School,00350278,MATH,           9,29,           0,0,           9,29,          15,48,           7,23,          31,     488.6,          55.3,          22,47,2019,ALL,afr.american/black
Boston - Blackstone Elementary School,00350390,ELA,          10,19,           0,0,          10,19,          33,63,           9,17,          52,     485.3,          33.4,          35,16,2019,ALL,afr.american/black
Boston - Blackstone Elementary School,00350390,MATH,           7,13,           0,0,           7,13,          27,52,          18,35,          52,     481.9,          42.8,          35,18,2019,ALL,afr.american/black
Boston - Blackstone Elementary School,00350390,SCI,           1,6,           0,0,           1,6,           8,47,           8,47,          17,     471.1,,,6,2019,ALL,afr.american/black
Boston - Boston Latin Academy,00350545,ELA,          95,75,          14,11,          81,64,          31,24,           1,1,         127,     509.9,          41.5,         112,97,2019,ALL,afr.american/black
Boston - Boston Latin Academy,00350545,MATH,          95,75,           2,2,          93,73,          32,25,           0,0,         127,     506.5,          39.3,         111,96,2019,ALL,afr.american/black
Boston - Boston Latin Academy,00350545,SCI,          20,32,           0,0,          20,32,          39,63,           3,5,          62,     495.3,,,88,2019,ALL,afr.american/black
