school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Boston - New Mission High School,00350542,ELA,           9,23,           0,0,           9,23,          20,50,          11,28,          40,93,     483.9,          26.4,          36,2021,7,ALL
Boston - New Mission High School,00350542,MATH,           3,8,           0,0,           3,8,          28,70,           9,23,          40,93,     480.3,          27.9,          34,2021,7,ALL
Boston - O'Bryant School of Math & Science,00350575,ELA,         104,68,           6,4,          98,64,          48,31,           2,1,         154,99,     507.1,          39.4,         143,2021,7,ALL
Boston - O'Bryant School of Math & Science,00350575,MATH,         103,67,          10,6,          93,60,          48,31,           3,2,         154,99,     506.3,          36.9,         143,2021,7,ALL
Boston - Ohrenberger School,00350258,ELA,           7,10,           0,0,           7,10,          33,47,          30,43,          70,90,     476.3,          29.0,          60,2021,7,ALL
Boston - Ohrenberger School,00350258,MATH,           8,12,           0,0,           8,12,          35,54,          22,34,          65,84,     476.7,          30.1,          57,2021,7,ALL
Boston - Orchard Gardens K-8 School,00350257,ELA,          13,17,           0,0,          13,17,          28,36,          37,47,          78,96,     475.1,          38.9,          76,2021,7,ALL
Boston - Orchard Gardens K-8 School,00350257,MATH,           6,8,           0,0,           6,8,          41,53,          30,39,          77,92,     475.0,          42.8,          75,2021,7,ALL
Boston - Quincy Upper School,00350565,ELA,          14,18,           2,3,          12,15,          43,54,          22,28,          79,98,     482.7,          31.0,          78,2021,7,ALL
Boston - Quincy Upper School,00350565,MATH,          13,17,           2,3,          11,14,          46,59,          19,24,          78,96,     484.3,          33.7,          77,2021,7,ALL
Boston - Roosevelt K-8 School,00350116,ELA,           3,11,           0,0,           3,11,          13,48,          11,41,          27,69,     473.7,          21.9,          23,2021,7,ALL
Boston - Roosevelt K-8 School,00350116,MATH,           0,0,           0,0,           0,0,          21,75,           7,25,          28,71,     477.5,          36.0,          24,2021,7,ALL
Boston - TechBoston Academy,00350657,ELA,           7,7,           0,0,           7,7,          50,52,          40,41,          97,95,     473.5,          22.6,          85,2021,7,ALL
Boston - TechBoston Academy,00350657,MATH,           2,2,           0,0,           2,2,          50,53,          42,45,          94,92,     470.7,          23.8,          82,2021,7,ALL
Boston - Timilty Middle School,00350485,ELA,          10,14,           0,0,          10,14,          27,38,          34,48,          71,92,     474.3,          27.8,          62,2021,7,ALL
Boston - Timilty Middle School,00350485,MATH,           4,6,           0,0,           4,6,          32,46,          34,49,          70,90,     472.5,          28.3,          62,2021,7,ALL
Boston - Tobin K-8 School,00350229,ELA,           2,4,           0,0,           2,4,          17,35,          30,61,          49,100,     467.1,          19.2,          42,2021,7,ALL
Boston - Tobin K-8 School,00350229,MATH,           2,4,           0,0,           2,4,          28,60,          17,36,          47,96,     474.7,          32.8,          41,2021,7,ALL
Boston - Trotter K-8 School,00350370,ELA,           2,8,           0,0,           2,8,          10,42,          12,50,          24,89,     472.8,          19.3,          24,2021,7,ALL
Boston - Trotter K-8 School,00350370,MATH,           3,13,           0,0,           3,13,          12,50,           9,38,          24,89,     477.5,          30.9,          24,2021,7,ALL
Boston - Warren-Prescott K-8 School,00350346,ELA,           6,20,           0,0,           6,20,          16,53,           8,27,          30,97,     490.4,          29.7,          24,2021,7,ALL
Boston - Warren-Prescott K-8 School,00350346,MATH,           4,13,           0,0,           4,13,          18,60,           8,27,          30,97,     485.2,          23.9,          24,2021,7,ALL
Boston - Young Achievers K-8 School,00350380,ELA,           3,6,           1,2,           2,4,          18,38,          26,55,          47,91,     471.1,          39.4,          41,2021,7,ALL
Boston - Young Achievers K-8 School,00350380,MATH,           3,7,           0,0,           3,7,          23,50,          20,43,          46,89,     472.0,          36.4,          39,2021,7,ALL
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,ELA,          44,42,           4,4,          40,38,          39,38,          21,20,         104,98,     492.4,          40.0,          94,2021,7,ALL
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,MATH,          31,30,           4,4,          27,26,          58,56,          14,14,         103,97,     490.7,          43.5,          92,2021,7,ALL
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,ELA,           7,15,           0,0,           7,15,          20,42,          21,44,          48,77,     474.7,          19.9,          45,2021,7,ALL
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,MATH,           1,2,           0,0,           1,2,          30,58,          21,40,          52,84,     472.7,          27.0,          48,2021,7,ALL
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,ELA,          24,23,           0,0,          24,23,          47,45,          34,32,         105,98,     482.5,          36.4,          98,2021,7,ALL
