school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Map Academy Charter School (District) - Map Academy Charter School,35170505,BIO,           4,15,           0,0,           4,15,          17,65,           5,19,          26,,483.4,,,,2022,HS SCI,ALL
Marblehead - Marblehead High,1680505,BIO,         172,75,          54,24,         118,52,          50,22,           6,3,         228,,516.1,,,,2022,HS SCI,ALL
Marlborough - Marlborough High,1700505,BIO,          40,23,          12,7,          28,16,          86,50,          47,27,         173,,485.2,,,,2022,HS SCI,ALL
Marlborough - Marlborough High,1700505,PHY,          53,28,          10,5,          43,23,         100,53,          34,18,         187,,488.4,,,,2022,HS SCI,ALL
Marshfield - Marshfield High,1710505,BIO,         203,63,          37,11,         166,51,         110,34,          10,3,         323,,505.4,,,,2022,HS SCI,ALL
Martha's Vineyard - Martha's Vineyard Regional High,7000505,BIO,          79,48,          10,6,          69,42,          69,42,          16,10,         164,,497.0,,,,2022,HS SCI,ALL
Masconomet - Masconomet Regional High School,7050505,BIO,          87,96,          33,36,          54,59,           3,3,           1,1,          91,,523.9,,,,2022,HS SCI,ALL
Masconomet - Masconomet Regional High School,7050505,PHY,          73,58,           7,6,          66,53,          48,38,           4,3,         125,,503.1,,,,2022,HS SCI,ALL
Mashpee - Mashpee Middle-High School,1720505,BIO,          48,58,          10,12,          38,46,          26,31,           9,11,          83,,501.1,,,,2022,HS SCI,ALL
Match Charter Public School (District) - Match Charter Public School,4690505,PHY,          25,34,           2,3,          23,32,          36,49,          12,16,          73,,490.0,,,,2022,HS SCI,ALL
Maynard - Maynard High,1740505,PHY,          39,53,           7,9,          32,43,          31,42,           4,5,          74,,500.9,,,,2022,HS SCI,ALL
Medfield - Medfield Senior High,1750505,BIO,         152,87,          67,39,          85,49,          21,12,           1,1,         174,,524.6,,,,2022,HS SCI,ALL
Medford - Medford High,1760505,BIO,         115,44,          22,8,          93,36,         112,43,          33,13,         260,,495.8,,,,2022,HS SCI,ALL
Medway - Medway High,1770505,BIO,         105,67,          32,21,          73,47,          46,29,           5,3,         156,,510.9,,,,2022,HS SCI,ALL
Melrose - Melrose High,1780505,BIO,         139,63,          34,16,         105,48,          69,32,          11,5,         219,,506.7,,,,2022,HS SCI,ALL
Mendon-Upton - Nipmuc Regional High,7100510,BIO,         109,66,          32,20,          77,47,          46,28,           9,5,         164,,510.1,,,,2022,HS SCI,ALL
Methuen - Methuen High,1810505,BIO,         161,37,          39,9,         122,28,         192,44,          81,19,         434,,492.9,,,,2022,HS SCI,ALL
Middleborough - Middleborough High,1820505,BIO,          54,40,           8,6,          46,34,          63,47,          18,13,         135,,493.8,,,,2022,HS SCI,ALL
Milford - Milford High,1850505,BIO,         100,36,          21,8,          79,29,         122,44,          53,19,         275,,491.9,,,,2022,HS SCI,ALL
Millbury - Millbury Junior/Senior High,1860505,BIO,          38,31,           7,6,          31,25,          62,50,          24,19,         124,,490.3,,,,2022,HS SCI,ALL
Millis - Millis High School,1870505,BIO,          48,56,          12,14,          36,42,          32,38,           5,6,          85,,504.6,,,,2022,HS SCI,ALL
Milton - Milton High,1890505,BIO,         195,78,          74,29,         121,48,          43,17,          13,5,         251,,517.4,,,,2022,HS SCI,ALL
Minuteman Regional Vocational Technical - Minuteman Regional High,8300605,BIO,          84,52,          13,8,          71,44,          69,43,           8,5,         161,,501.7,,,,2022,HS SCI,ALL
Mohawk Trail - Mohawk Trail Regional School,7170505,BIO,          10,43,           1,4,           9,39,          12,52,           1,4,          23,,497.4,,,,2022,HS SCI,ALL
Monomoy Regional School District - Monomoy Regional High School,7120515,PHY,          93,65,           6,4,          87,61,          46,32,           3,2,         142,,504.8,,,,2022,HS SCI,ALL
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,8320605,BIO,         216,63,          35,10,         181,53,         111,32,          17,5,         344,,505.8,,,,2022,HS SCI,ALL
Mount Greylock - Mt Greylock Regional High,7150505,PHY,          40,56,          11,15,          29,40,          31,43,           1,1,          72,,507.5,,,,2022,HS SCI,ALL
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,BIO,          61,73,          20,24,          41,49,          20,24,           2,2,          83,,514.6,,,,2022,HS SCI,ALL
Nantucket - Nantucket High,1970505,BIO,          68,53,          19,15,          49,38,          46,36,          14,11,         128,,502.0,,,,2022,HS SCI,ALL
Narragansett - Narragansett Regional High,7200505,BIO,          38,44,           3,3,          35,40,          39,45,          10,11,          87,,494.8,,,,2022,HS SCI,ALL
Nashoba - Nashoba Regional,7250505,BIO,         153,72,          49,23,         104,49,          54,25,           5,2,         212,,514.3,,,,2022,HS SCI,ALL
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,8520605,BIO,          65,42,          10,6,          55,35,          69,45,          21,14,         155,,495.7,,,,2022,HS SCI,ALL
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,8520605,PHY,          25,51,           5,10,          20,41,          19,39,           5,10,          49,,498.6,,,,2022,HS SCI,ALL
Natick - Natick High,1980505,PHY,         291,75,         112,29,         179,46,          93,24,           5,1,         389,,516.8,,,,2022,HS SCI,ALL
Nauset - Nauset Regional High,6600505,PHY,         114,56,          14,7,         100,49,          88,43,           3,1,         205,,502.3,,,,2022,HS SCI,ALL
Needham - Needham High,1990505,BIO,         272,65,          57,14,         215,52,         134,32,          10,2,         416,,508.2,,,,2022,HS SCI,ALL
Neighborhood House Charter (District) - Neighborhood House Charter School,4440205,BIO,          27,36,           0,0,          27,36,          38,50,          11,14,          76,,491.6,,,,2022,HS SCI,ALL
New Bedford - New Bedford High,2010505,BIO,          74,13,           8,1,          66,11,         234,41,         268,47,         576,,474.7,,,,2022,HS SCI,ALL
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,BIO,          19,15,           0,0,          19,15,          75,58,          36,28,         130,,479.3,,,,2022,HS SCI,ALL
Newburyport - Newburyport High,2040505,BIO,         136,72,          33,17,         103,54,          51,27,           2,1,         189,,511.3,,,,2022,HS SCI,ALL
Newton - Newton North High,2070505,PHY,         376,76,         119,24,         257,52,         103,21,          18,4,         497,,515.6,,,,2022,HS SCI,ALL
Newton - Newton South High,2070510,PHY,         341,80,         135,32,         206,48,          77,18,           9,2,         427,,519.4,,,,2022,HS SCI,ALL
Norfolk County Agricultural - Norfolk County Agricultural,9150705,BIO,          76,51,           7,5,          69,46,          68,46,           5,3,         149,,499.5,,,,2022,HS SCI,ALL
North Adams - Drury High,2090505,BIO,          12,14,           1,1,          11,13,          37,42,          39,44,          88,,475.1,,,,2022,HS SCI,ALL
North Andover - North Andover High,2110505,BIO,         204,63,          55,17,         149,46,         106,33,          15,5,         325,,508.5,,,,2022,HS SCI,ALL
North Attleborough - North Attleboro High,2120505,BIO,         177,56,          44,14,         133,42,         112,35,          29,9,         318,,503.7,,,,2022,HS SCI,ALL
North Brookfield - North Brookfield High,2150505,BIO,           5,24,           0,0,           5,24,           8,38,           8,38,          21,,481.2,,,,2022,HS SCI,ALL
