school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Barnstable - Barnstable United Elementary School,00200050,ELA,           9,16,           0,0,           9,16,          34,61,          13,23,          56,100,     482.5,          42.8,          52,29,2022,ALL,afr.american/black
Barnstable - Barnstable United Elementary School,00200050,MATH,           5,9,           0,0,           5,9,          28,52,          21,39,          54,97,     476.8,          36.6,          49,24,2022,ALL,afr.american/black
Barnstable - Barnstable United Elementary School,00200050,SCI,           3,13,           0,0,           3,13,          11,48,           9,39,          23,93,     476.2,,,26,2022,ALL,afr.american/black
Barnstable - Hyannis West Elementary,00200025,ELA,           0,0,           0,0,           0,0,           7,70,           3,30,          10,100,     476.1,,,9,2022,ALL,afr.american/black
Barnstable - Hyannis West Elementary,00200025,MATH,           0,0,           0,0,           0,0,           5,50,           5,50,          10,100,     469.0,,,5,2022,ALL,afr.american/black
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,          12,18,           0,0,          12,18,          36,55,          18,27,          66,97,     481.0,          47.4,          63,22,2022,ALL,afr.american/black
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,           4,6,           0,0,           4,6,          36,53,          28,41,          68,100,     473.9,          33.1,          64,15,2022,ALL,afr.american/black
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,SCI,           5,20,           0,0,           5,20,          15,60,           5,20,          25,100,     480.7,,,43,2022,ALL,afr.american/black
Bedford - John Glenn Middle,00230305,ELA,           7,18,           1,3,           6,15,          23,59,           9,23,          39,100,     486.5,          51.5,          33,47,2022,ALL,afr.american/black
Bedford - John Glenn Middle,00230305,MATH,           6,15,           0,0,           6,15,          22,56,          11,28,          39,100,     483.6,          49.5,          32,51,2022,ALL,afr.american/black
Bedford - John Glenn Middle,00230305,SCI,           2,15,           0,0,           2,15,           7,54,           4,31,          13,100,     480.0,,,40,2022,ALL,afr.american/black
Bedford - Lt Job Lane School,00230012,ELA,           9,23,           1,3,           8,21,          27,69,           3,8,          39,100,     488.9,          43.4,          26,60,2022,ALL,afr.american/black
Bedford - Lt Job Lane School,00230012,MATH,           6,15,           0,0,           6,15,          23,59,          10,26,          39,100,     482.5,          46.5,          26,47,2022,ALL,afr.american/black
Bedford - Lt Job Lane School,00230012,SCI,           2,14,           0,0,           2,14,           8,57,           4,29,          14,100,     478.6,,,33,2022,ALL,afr.american/black
Belmont - Mary Lee Burbank,00260010,ELA,           3,30,           0,0,           3,30,           6,60,           1,10,          10,100,     487.9,,           8,54,2022,ALL,afr.american/black
Belmont - Mary Lee Burbank,00260010,MATH,           4,40,           0,0,           4,40,           4,40,           2,20,          10,100,     484.8,,           8,56,2022,ALL,afr.american/black
Belmont - Roger E Wellington,00260035,ELA,           1,9,           0,0,           1,9,          10,91,           0,0,          11,100,     484.2,,           3,36,2022,ALL,afr.american/black
Belmont - Roger E Wellington,00260035,MATH,           1,9,           0,0,           1,9,           4,36,           6,55,          11,100,     469.4,,           3,5,2022,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,ELA,          13,29,           2,4,          11,24,          18,40,          14,31,          45,98,     485.0,          34.8,          44,41,2022,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,MATH,          13,29,           2,4,          11,24,          20,44,          12,27,          45,100,     485.0,          49.2,          43,57,2022,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,SCI,           8,36,           0,0,           8,36,           8,36,           6,27,          22,100,     486.0,,,67,2022,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,ELA,          99,71,          30,21,          69,49,          35,25,           6,4,         140,100,     512.0,          63.7,         109,99,2022,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,MATH,         105,75,          25,18,          80,57,          26,19,           9,6,         140,100,     511.3,          64.6,         109,99,2022,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,SCI,          26,70,           4,11,          22,59,           9,24,           2,5,          37,100,     509.3,,,99,2022,ALL,afr.american/black
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,ELA,           4,21,           1,5,           3,16,          10,53,           5,26,          19,100,     487.5,,          16,53,2022,ALL,afr.american/black
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,MATH,           4,21,           1,5,           3,16,          14,74,           1,5,          19,100,     489.2,,          16,76,2022,ALL,afr.american/black
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,ELA,           8,44,           1,6,           7,39,           9,50,           1,6,          18,100,     495.9,,          16,90,2022,ALL,afr.american/black
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,MATH,           4,22,           1,6,           3,17,          12,67,           2,11,          18,100,     489.3,,          15,81,2022,ALL,afr.american/black
Beverly - Beverly Middle School,00300305,ELA,          14,30,           1,2,          13,28,          14,30,          19,40,          47,100,     483.0,          46.0,          44,31,2022,ALL,afr.american/black
Beverly - Beverly Middle School,00300305,MATH,          12,26,           2,4,          10,21,          19,40,          16,34,          47,100,     484.9,          45.1,          44,56,2022,ALL,afr.american/black
Beverly - Beverly Middle School,00300305,SCI,           4,21,           0,0,           4,21,          10,53,           5,26,          19,100,     483.5,,,56,2022,ALL,afr.american/black
Billerica - Billerica Memorial High School,00310505,ELA,           4,25,           0,0,           4,25,           8,50,           4,25,          16,100,     488.9,,          16,60,2022,ALL,afr.american/black
Billerica - Billerica Memorial High School,00310505,MATH,           2,13,           0,0,           2,13,          11,69,           3,19,          16,100,     481.1,,          16,40,2022,ALL,afr.american/black
Billerica - Billerica Memorial High School,00310505,SCI,           6,38,           0,0,           6,38,           9,56,           1,6,          16,100,     489.7,,,81,2022,ALL,afr.american/black
Billerica - Locke Middle,00310310,ELA,           6,35,           0,0,           6,35,           8,47,           3,18,          17,100,     489.6,,          16,65,2022,ALL,afr.american/black
Billerica - Locke Middle,00310310,MATH,           3,18,           0,0,           3,18,          13,76,           1,6,          17,100,     487.9,,          16,71,2022,ALL,afr.american/black
Billerica - Marshall Middle School,00310305,ELA,          12,32,           2,5,          10,26,          20,53,           6,16,          38,100,     492.3,          51.9,          34,75,2022,ALL,afr.american/black
Billerica - Marshall Middle School,00310305,MATH,          12,32,           0,0,          12,32,          22,58,           4,11,          38,100,     490.1,          55.2,          35,79,2022,ALL,afr.american/black
Billerica - Marshall Middle School,00310305,SCI,           2,20,           0,0,           2,20,           5,50,           3,30,          10,100,     486.7,,,69,2022,ALL,afr.american/black
Billerica - Parker,00310015,ELA,           4,33,           1,8,           3,25,           8,67,           0,0,          12,100,     498.3,,           6,92,2022,ALL,afr.american/black
Billerica - Parker,00310015,MATH,           4,33,           1,8,           3,25,           8,67,           0,0,          12,100,     497.8,,           6,95,2022,ALL,afr.american/black
Boston - Bates Elementary School,00350278,ELA,           5,24,           0,0,           5,24,           7,33,           9,43,          21,100,     481.8,,          12,26,2022,ALL,afr.american/black
Boston - Bates Elementary School,00350278,MATH,           4,20,           0,0,           4,20,          11,55,           5,25,          20,100,     483.9,,          11,52,2022,ALL,afr.american/black
Boston - Blackstone Elementary School,00350390,ELA,           3,7,           0,0,           3,7,          21,46,          22,48,          46,94,     475.3,,          13,7,2022,ALL,afr.american/black
Boston - Blackstone Elementary School,00350390,MATH,           0,0,           0,0,           0,0,          14,30,          32,70,          46,94,     462.3,,          13,1,2022,ALL,afr.american/black
Boston - Blackstone Elementary School,00350390,SCI,           2,20,           0,0,           2,20,           1,10,           7,70,          10,100,     469.6,,,,2022,ALL,afr.american/black
Boston - Boston Community Leadership Academy,00350558,ELA,           4,13,           0,0,           4,13,          14,44,          14,44,          32,95,     472.8,          54.9,          26,3,2022,ALL,afr.american/black
Boston - Boston Community Leadership Academy,00350558,MATH,           2,6,           0,0,           2,6,          13,42,          16,52,          31,92,     473.1,          42.3,          25,12,2022,ALL,afr.american/black
Boston - Boston Community Leadership Academy,00350558,SCI,           1,5,           0,0,           1,5,          11,55,           8,40,          20,75,     472.8,,,15,2022,ALL,afr.american/black
Boston - Boston Latin Academy,00350545,ELA,          84,67,           6,5,          78,62,          37,30,           4,3,         125,99,     504.2,          53.3,         110,98,2022,ALL,afr.american/black
