school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Atlantis Charter (District) - Atlantis Charter School,4910550,SCI,38,35,2,2,36,33,51,47,20,18,109,     490.2,,,22,2019,ALL,male
Attleboro - A. Irvin Studley Elementary School,160001,ELA,43,48,8,9,35,39,37,41,10,11,90,     498.0,          39.1,38,45,2019,ALL,male
Attleboro - A. Irvin Studley Elementary School,160001,MATH,52,58,13,14,39,43,26,29,12,13,90,     501.0,          52.0,39,54,2019,ALL,male
Attleboro - Cyril K. Brennan Middle School,160315,ELA,117,40,19,7,98,34,130,45,43,15,290,     496.8,          49.8,267,41,2019,ALL,male
Attleboro - Cyril K. Brennan Middle School,160315,MATH,105,36,9,3,96,33,135,47,50,17,290,     493.6,          40.8,266,27,2019,ALL,male
Attleboro - Cyril K. Brennan Middle School,160315,SCI,52,39,6,5,46,35,55,41,26,20,133,     495.7,,,35,2019,ALL,male
Attleboro - Hill-Roberts Elementary School,160045,ELA,43,42,3,3,40,39,44,43,16,16,103,     494.0,          32.9,45,31,2019,ALL,male
Attleboro - Hill-Roberts Elementary School,160045,MATH,50,49,7,7,43,42,43,42,10,10,103,     497.9,          56.1,45,43,2019,ALL,male
Attleboro - Hyman Fine Elementary School,160040,ELA,63,68,19,20,44,47,26,28,4,4,93,     511.3,          60.1,33,91,2019,ALL,male
Attleboro - Hyman Fine Elementary School,160040,MATH,55,59,17,18,38,41,31,33,7,8,93,     506.4,          67.0,33,72,2019,ALL,male
Attleboro - Peter Thacher Elementary School,160050,ELA,49,58,18,21,31,37,16,19,19,23,84,     510.9,          74.8,36,90,2019,ALL,male
Attleboro - Peter Thacher Elementary School,160050,MATH,48,57,12,14,36,43,15,18,21,25,84,     505.1,          72.4,36,69,2019,ALL,male
Attleboro - Robert J. Coelho Middle School,160305,ELA,139,41,7,2,132,39,156,46,44,13,339,     493.8,          46.7,328,31,2019,ALL,male
Attleboro - Robert J. Coelho Middle School,160305,MATH,178,53,23,7,155,46,133,39,26,8,337,     500.3,          53.0,326,52,2019,ALL,male
Attleboro - Robert J. Coelho Middle School,160305,SCI,85,54,14,9,71,46,63,40,8,5,156,     503.6,,,62,2019,ALL,male
Attleboro - Thomas Willett Elementary School,160035,ELA,61,65,7,7,54,57,29,31,4,4,94,     505.7,          49.2,47,75,2019,ALL,male
Attleboro - Thomas Willett Elementary School,160035,MATH,51,54,8,9,43,46,33,35,10,11,94,     500.2,          46.7,47,51,2019,ALL,male
Attleboro - Wamsutta Middle School,160320,ELA,132,44,18,6,114,38,132,44,36,12,300,     496.6,          43.4,293,40,2019,ALL,male
Attleboro - Wamsutta Middle School,160320,MATH,153,51,19,6,134,45,119,40,29,10,301,     499.7,          52.6,294,49,2019,ALL,male
Attleboro - Wamsutta Middle School,160320,SCI,83,52,10,6,73,45,62,39,16,10,161,     499.9,,,48,2019,ALL,male
Auburn - Auburn Middle,170305,ELA,182,56,27,8,155,48,121,37,22,7,325,     502.1,          54.1,315,63,2019,ALL,male
Auburn - Auburn Middle,170305,MATH,178,55,38,12,140,43,128,39,19,6,325,     502.8,          50.5,316,60,2019,ALL,male
Auburn - Auburn Middle,170305,SCI,69,58,14,12,55,46,49,41,2,2,120,     505.8,,,70,2019,ALL,male
Auburn - Swanson Road Intermediate School,170030,ELA,180,61,19,6,161,54,102,34,15,5,297,     504.5,          44.7,184,71,2019,ALL,male
Auburn - Swanson Road Intermediate School,170030,MATH,176,59,29,10,147,49,103,35,18,6,297,     504.7,          54.7,184,67,2019,ALL,male
Auburn - Swanson Road Intermediate School,170030,SCI,46,55,11,13,35,42,32,38,6,7,84,     504.8,,,66,2019,ALL,male
Avon - Avon Middle High School,180510,ELA,28,47,1,2,27,46,20,34,11,19,59,     494.8,          46.5,57,34,2019,ALL,male
Avon - Avon Middle High School,180510,MATH,31,53,3,5,28,47,26,44,2,3,59,     500.5,          51.1,57,53,2019,ALL,male
Avon - Avon Middle High School,180510,SCI,14,54,1,4,13,50,9,35,3,12,26,     498.7,,,43,2019,ALL,male
Avon - Ralph D Butler,180010,ELA,60,50,6,5,54,45,43,36,17,14,120,     498.3,          45.1,86,46,2019,ALL,male
