school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Andover - Doherty Middle,00090305,MATH,          20,53,           4,11,          16,42,          13,34,           5,13,          38,100,     500.3,          40.1,          32,2021,ALL,ever EL
Andover - Henry C Sanborn Elementary,00090010,ELA,          12,57,           0,0,          12,57,           7,33,           2,10,          21,100,     498.0,,           7,2021,ALL,ever EL
Andover - Henry C Sanborn Elementary,00090010,MATH,          10,48,           2,10,           8,38,          11,52,           0,0,          21,100,     502.1,,           7,2021,ALL,ever EL
Andover - High Plain Elementary,00090004,ELA,          22,48,           4,9,          18,39,          23,50,           1,2,          46,100,     502.1,,          10,2021,ALL,ever EL
Andover - High Plain Elementary,00090004,MATH,          25,54,           1,2,          24,52,          19,41,           2,4,          46,100,     500.8,,          10,2021,ALL,ever EL
Andover - High Plain Elementary,00090004,SCI,          10,77,           1,8,           9,69,           3,23,           0,0,          13,100,     504.8,,,2021,ALL,ever EL
Andover - South Elementary,00090020,ELA,          24,83,           7,24,          17,59,           5,17,           0,0,          29,100,     516.1,,           9,2021,ALL,ever EL
Andover - South Elementary,00090020,MATH,          22,76,           4,14,          18,62,           7,24,           0,0,          29,100,     511.5,,           9,2021,ALL,ever EL
Andover - West Elementary,00090025,ELA,          20,61,           2,6,          18,55,           9,27,           4,12,          33,100,     500.3,,          12,2021,ALL,ever EL
Andover - West Elementary,00090025,MATH,          15,45,           2,6,          13,39,          13,39,           5,15,          33,100,     496.9,,          12,2021,ALL,ever EL
Andover - West Elementary,00090025,SCI,          10,67,           1,7,           9,60,           5,33,           0,0,          15,100,     504.6,,,2021,ALL,ever EL
Andover - Wood Hill Middle School,00090350,ELA,          28,56,           2,4,          26,52,          18,36,           4,8,          50,98,     500.9,          40.3,          44,2021,ALL,ever EL
Andover - Wood Hill Middle School,00090350,MATH,          31,62,           8,16,          23,46,          15,30,           4,8,          50,98,     506.7,          50.2,          44,2021,ALL,ever EL
Andover - Wood Hill Middle School,00090350,SCI,           8,73,           0,0,           8,73,           2,18,           1,9,          11,100,     505.9,,,2021,ALL,ever EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          19,15,           1,1,          18,15,          54,44,          50,41,         123,97,     475.8,          21.8,         110,2021,ALL,ever EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          18,15,           0,0,          18,15,          59,48,          47,38,         124,98,     476.1,          17.4,         111,2021,ALL,ever EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,           3,10,           1,3,           2,7,          15,52,          11,38,          29,97,     476.0,,,2021,ALL,ever EL
Arlington - Cyrus E Dallin,00100025,ELA,           6,55,           2,18,           4,36,           5,45,           0,0,          11,100,     502.4,,           6,2021,ALL,ever EL
Arlington - Cyrus E Dallin,00100025,MATH,           3,27,           1,9,           2,18,           6,55,           2,18,          11,100,     490.3,,           6,2021,ALL,ever EL
Arlington - Gibbs School,00100305,ELA,          22,55,           7,18,          15,38,          12,30,           6,15,          40,98,     502.7,          56.7,          32,2021,ALL,ever EL
Arlington - Gibbs School,00100305,MATH,          25,63,           4,10,          21,53,          13,33,           2,5,          40,98,     506.7,          49.1,          33,2021,ALL,ever EL
Arlington - Hardy,00100030,ELA,           9,35,           3,12,           6,23,          11,42,           6,23,          26,100,     489.0,,          10,2021,ALL,ever EL
Arlington - Hardy,00100030,MATH,          12,46,           2,8,          10,38,          10,38,           4,15,          26,100,     492.9,,          10,2021,ALL,ever EL
Arlington - Hardy,00100030,SCI,           5,50,           0,0,           5,50,           3,30,           2,20,          10,100,     496.2,,,2021,ALL,ever EL
Arlington - John A Bishop,00100005,ELA,           4,40,           0,0,           4,40,           5,50,           1,10,          10,100,     489.4,,           2,2021,ALL,ever EL
Arlington - John A Bishop,00100005,MATH,           5,50,           1,10,           4,40,           4,40,           1,10,          10,100,     499.9,,           2,2021,ALL,ever EL
Arlington - M Norcross Stratton,00100055,ELA,           6,32,           1,5,           5,26,          10,53,           3,16,          19,100,     489.2,,           5,2021,ALL,ever EL
