school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Arlington - Cyrus E Dallin,00100025,ELA,         153,82,          36,19,         117,63,          31,17,           2,1,         186,98,     513.4,          53.7,          54,2021,ALL,non-disabled
Arlington - Cyrus E Dallin,00100025,MATH,         107,58,          18,10,          89,48,          69,37,           9,5,         185,98,     504.4,          41.7,          54,2021,ALL,non-disabled
Arlington - Cyrus E Dallin,00100025,SCI,          38,70,           6,11,          32,59,          16,30,           0,0,          54,100,     511.4,,,2021,ALL,non-disabled
Arlington - Gibbs School,00100305,ELA,         304,82,         120,32,         184,49,          60,16,           9,2,         373,97,     519.6,          55.9,         352,2021,ALL,non-disabled
Arlington - Gibbs School,00100305,MATH,         265,71,          44,12,         221,59,         101,27,           7,2,         373,97,     509.6,          38.5,         353,2021,ALL,non-disabled
Arlington - Hardy,00100030,ELA,         121,76,          33,21,          88,55,          32,20,           6,4,         159,97,     512.4,          44.0,          49,2021,ALL,non-disabled
Arlington - Hardy,00100030,MATH,          95,60,          17,11,          78,49,          56,35,           8,5,         159,97,     504.7,          31.9,          49,2021,ALL,non-disabled
Arlington - Hardy,00100030,SCI,          39,78,           9,18,          30,60,           9,18,           2,4,          50,98,     512.7,,,2021,ALL,non-disabled
Arlington - John A Bishop,00100005,ELA,         117,82,          38,27,          79,56,          22,15,           3,2,         142,97,     516.2,          47.2,          37,2021,ALL,non-disabled
Arlington - John A Bishop,00100005,MATH,          97,68,          22,15,          75,53,          43,30,           2,1,         142,97,     509.4,          39.5,          37,2021,ALL,non-disabled
Arlington - John A Bishop,00100005,SCI,          36,86,          10,24,          26,62,           6,14,           0,0,          42,93,     517.5,,,2021,ALL,non-disabled
Arlington - M Norcross Stratton,00100055,ELA,         125,80,          31,20,          94,60,          31,20,           1,1,         157,99,     512.9,          40.0,          45,2021,ALL,non-disabled
Arlington - M Norcross Stratton,00100055,MATH,         100,64,          17,11,          83,53,          56,36,           1,1,         157,99,     507.2,          43.1,          45,2021,ALL,non-disabled
Arlington - M Norcross Stratton,00100055,SCI,          36,80,          13,29,          23,51,           8,18,           1,2,          45,98,     518.7,,,2021,ALL,non-disabled
Arlington - Ottoson Middle,00100410,ELA,         524,77,         146,21,         378,56,         147,22,           9,1,         680,94,     515.7,          49.5,         642,2021,ALL,non-disabled
Arlington - Ottoson Middle,00100410,MATH,         485,71,         101,15,         384,57,         186,27,           8,1,         679,94,     511.4,          45.5,         643,2021,ALL,non-disabled
Arlington - Ottoson Middle,00100410,SCI,         193,73,          58,22,         135,51,          65,25,           5,2,         263,97,     513.3,,,2021,ALL,non-disabled
Arlington - Peirce,00100045,ELA,          90,80,          10,9,          80,71,          23,20,           0,0,         113,98,     510.7,          45.2,          34,2021,ALL,non-disabled
Arlington - Peirce,00100045,MATH,          68,60,           6,5,          62,55,          42,37,           3,3,         113,98,     502.1,          58.7,          34,2021,ALL,non-disabled
Arlington - Peirce,00100045,SCI,          27,79,           5,15,          22,65,           7,21,           0,0,          34,100,     518.7,,,2021,ALL,non-disabled
Arlington - Thompson,00100050,ELA,         128,75,          30,18,          98,58,          39,23,           3,2,         170,91,     512.3,          42.3,          59,2021,ALL,non-disabled
Arlington - Thompson,00100050,MATH,         108,64,          17,10,          91,54,          51,30,          10,6,         169,90,     504.8,          35.9,          59,2021,ALL,non-disabled
Arlington - Thompson,00100050,SCI,          45,71,          11,17,          34,54,          12,19,           6,10,          63,94,     511.4,,,2021,ALL,non-disabled
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,         112,66,          14,8,          98,58,          58,34,           0,0,         170,99,     506.5,          33.4,          52,2021,ALL,non-disabled
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,          78,46,           5,3,          73,43,          85,50,           7,4,         170,99,     497.7,          27.3,          53,2021,ALL,non-disabled
Ashburnham-Westminster - Briggs Elementary,06100025,SCI,          27,51,           3,6,          24,45,          25,47,           1,2,          53,96,     502.4,,,2021,ALL,non-disabled
Ashburnham-Westminster - Overlook Middle School,06100305,ELA,         274,62,          35,8,         239,54,         145,33,          20,5,         439,99,     505.4,          50.5,         425,2021,ALL,non-disabled
Ashburnham-Westminster - Overlook Middle School,06100305,MATH,         168,38,           6,1,         162,37,         242,55,          28,6,         438,99,     495.2,          32.7,         423,2021,ALL,non-disabled
Ashburnham-Westminster - Overlook Middle School,06100305,SCI,          66,52,           8,6,          58,46,          58,46,           2,2,         126,99,     502.0,,,2021,ALL,non-disabled
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,         115,54,           8,4,         107,50,          95,45,           2,1,         212,100,     502.0,          39.5,          86,2021,ALL,non-disabled
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,          81,38,           3,1,          78,37,         118,56,          13,6,         212,100,     494.6,          36.5,          86,2021,ALL,non-disabled
Ashburnham-Westminster - Westminster Elementary,06100005,SCI,          38,44,           2,2,          36,41,          46,53,           3,3,          87,100,     496.3,,,2021,ALL,non-disabled
Ashland - Ashland Middle,00140405,ELA,         329,65,          81,16,         248,49,         150,30,          29,6,         508,98,     508.4,          47.1,         483,2021,ALL,non-disabled
Ashland - Ashland Middle,00140405,MATH,         299,59,          61,12,         238,47,         180,35,          32,6,         511,98,     505.4,          44.5,         484,2021,ALL,non-disabled
Ashland - Ashland Middle,00140405,SCI,         103,64,          25,15,          78,48,          48,30,          11,7,         162,98,     506.7,,,2021,ALL,non-disabled
Ashland - David Mindess,00140015,ELA,         340,72,          66,14,         274,58,         118,25,          12,3,         470,98,     509.6,          47.4,         152,2021,ALL,non-disabled
Ashland - David Mindess,00140015,MATH,         272,58,          52,11,         220,47,         163,35,          35,7,         470,98,     502.8,          49.6,         152,2021,ALL,non-disabled
Ashland - David Mindess,00140015,SCI,         100,62,          13,8,          87,54,          53,33,           8,5,         161,98,     505.1,,,2021,ALL,non-disabled
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          67,47,           5,4,          62,44,          63,44,          12,8,         142,95,     496.2,,,2021,ALL,non-disabled
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          43,30,           4,3,          39,27,          70,49,          30,21,         143,96,     487.3,,,2021,ALL,non-disabled
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,          91,30,           7,2,          84,28,         148,49,          65,21,         304,98,     487.5,          31.4,         298,2021,ALL,non-disabled
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,          57,19,           4,1,          53,17,         182,60,          66,22,         305,98,     483.9,          26.8,         301,2021,ALL,non-disabled
Athol-Royalston - Athol-Royalston Middle School,06150305,SCI,          47,39,          10,8,          37,31,          57,48,          15,13,         119,96,     495.4,,,2021,ALL,non-disabled
Athol-Royalston - Royalston Community School,06150050,ELA,          45,76,          12,20,          33,56,          14,24,           0,0,          59,100,     513.2,          47.2,          27,2021,ALL,non-disabled
Athol-Royalston - Royalston Community School,06150050,MATH,          40,68,           6,10,          34,58,          18,31,           1,2,          59,100,     506.9,          39.5,          27,2021,ALL,non-disabled
Athol-Royalston - Royalston Community School,06150050,SCI,           8,57,           0,0,           8,57,           6,43,           0,0,          14,100,     506.1,,,2021,ALL,non-disabled
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,         253,45,          32,6,         221,39,         246,43,          67,12,         566,100,     496.5,          31.6,         364,2021,ALL,non-disabled
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,         154,27,           5,1,         149,26,         327,58,          85,15,         566,100,     488.6,          25.0,         364,2021,ALL,non-disabled
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,          56,33,           5,3,          51,30,          84,50,          28,17,         168,100,     490.2,,,2021,ALL,non-disabled
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,          72,67,          15,14,          57,53,          33,31,           2,2,         107,100,     508.2,,,2021,ALL,non-disabled
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,          49,46,           6,6,          43,40,          45,42,          13,12,         107,100,     495.6,,,2021,ALL,non-disabled
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,         215,45,          27,6,         188,39,         209,44,          55,11,         479,96,     496.9,          31.8,         444,2021,ALL,non-disabled
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,         139,29,          15,3,         124,26,         270,56,          69,14,         478,96,     490.2,          25.7,         443,2021,ALL,non-disabled
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,          91,40,           8,4,          83,36,         104,46,          33,14,         228,97,     493.7,,,2021,ALL,non-disabled
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          74,52,           8,6,          66,46,          62,43,           7,5,         143,100,     499.6,,,2021,ALL,non-disabled
Attleboro - Hill-Roberts Elementary School,00160045,MATH,          52,36,           5,3,          47,33,          67,47,          24,17,         143,100,     490.3,,,2021,ALL,non-disabled
Attleboro - Hyman Fine Elementary School,00160040,ELA,          95,65,          20,14,          75,51,          46,31,           6,4,         147,99,     506.0,,,2021,ALL,non-disabled
Attleboro - Hyman Fine Elementary School,00160040,MATH,          55,37,           2,1,          53,36,          68,46,          24,16,         147,99,     490.7,,,2021,ALL,non-disabled
Attleboro - Peter Thacher Elementary School,00160050,ELA,          76,55,          13,9,          63,45,          49,35,          14,10,         139,99,     501.6,,,2021,ALL,non-disabled
Attleboro - Peter Thacher Elementary School,00160050,MATH,          49,35,           5,4,          44,32,          63,45,          27,19,         139,99,     489.2,,,2021,ALL,non-disabled
Attleboro - Robert J. Coelho Middle School,00160305,ELA,         245,47,          21,4,         224,43,         225,43,          48,9,         518,99,     497.4,          34.4,         497,2021,ALL,non-disabled
Attleboro - Robert J. Coelho Middle School,00160305,MATH,         225,43,          22,4,         203,39,         253,49,          40,8,         518,99,     496.9,          33.3,         496,2021,ALL,non-disabled
Attleboro - Robert J. Coelho Middle School,00160305,SCI,         133,54,          27,11,         106,43,         102,41,          12,5,         247,100,     503.8,,,2021,ALL,non-disabled
Attleboro - Thomas Willett Elementary School,00160035,ELA,          48,52,           6,7,          42,46,          39,42,           5,5,          92,98,     499.0,,,2021,ALL,non-disabled
Attleboro - Thomas Willett Elementary School,00160035,MATH,          31,34,           0,0,          31,34,          44,48,          17,18,          92,98,     488.1,,,2021,ALL,non-disabled
