school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,ELA,           8,44,           0,0,           8,44,           8,44,           2,11,          18,100,     497.2,,          13,2021,ALL,afr.american/black
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,MATH,           5,28,           0,0,           5,28,          11,61,           2,11,          18,100,     488.3,,          13,2021,ALL,afr.american/black
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,ELA,           8,36,           2,9,           6,27,           6,27,           8,36,          22,96,     486.9,          29.2,          20,2021,ALL,afr.american/black
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,MATH,           4,20,           1,5,           3,15,           8,40,           8,40,          20,87,     479.5,,          18,2021,ALL,afr.american/black
Beverly - Beverly Middle School,00300305,ELA,          12,29,           1,2,          11,26,          17,40,          13,31,          42,93,     485.0,          27.5,          38,2021,ALL,afr.american/black
Beverly - Beverly Middle School,00300305,MATH,           5,12,           0,0,           5,12,          28,67,           9,21,          42,93,     482.7,          23.7,          38,2021,ALL,afr.american/black
Beverly - Beverly Middle School,00300305,SCI,           4,21,           1,5,           3,16,           9,47,           6,32,          19,95,     480.0,,,2021,ALL,afr.american/black
Billerica - Billerica Memorial High School,00310505,ELA,           5,19,           1,4,           4,15,          18,69,           3,12,          26,100,     488.8,          38.1,          24,2021,ALL,afr.american/black
Billerica - Billerica Memorial High School,00310505,MATH,           2,8,           0,0,           2,8,          18,69,           6,23,          26,100,     479.3,          22.0,          24,2021,ALL,afr.american/black
Billerica - Billerica Memorial High School,00310505,SCI,           5,22,           1,4,           4,17,          16,70,           2,9,          23,100,     494.2,,,2021,ALL,afr.american/black
Billerica - Locke Middle,00310310,ELA,           4,36,           1,9,           3,27,           4,36,           3,27,          11,100,     492.1,,          11,2021,ALL,afr.american/black
Billerica - Locke Middle,00310310,MATH,           2,18,           0,0,           2,18,           7,64,           2,18,          11,100,     485.0,,          11,2021,ALL,afr.american/black
Billerica - Marshall Middle School,00310305,ELA,          14,33,           1,2,          13,30,          18,42,          11,26,          43,96,     487.3,          33.5,          34,2021,ALL,afr.american/black
Billerica - Marshall Middle School,00310305,MATH,           5,11,           0,0,           5,11,          27,61,          12,27,          44,98,     479.3,          21.3,          35,2021,ALL,afr.american/black
Billerica - Marshall Middle School,00310305,SCI,           3,23,           0,0,           3,23,           6,46,           4,31,          13,100,     482.8,,,2021,ALL,afr.american/black
Billerica - Parker,00310015,ELA,           6,60,           3,30,           3,30,           4,40,           0,0,          10,100,     508.7,,,2021,ALL,afr.american/black
Billerica - Parker,00310015,MATH,           4,40,           2,20,           2,20,           5,50,           1,10,          10,100,     502.1,,,2021,ALL,afr.american/black
Boston - Bates Elementary School,00350278,ELA,           9,38,           1,4,           8,33,          10,42,           5,21,          24,81,     489.1,,           5,2021,ALL,afr.american/black
Boston - Bates Elementary School,00350278,MATH,           6,25,           0,0,           6,25,           9,38,           9,38,          24,81,     478.9,,           5,2021,ALL,afr.american/black
Boston - Blackstone Elementary School,00350390,ELA,           3,14,           1,5,           2,10,          12,57,           6,29,          21,38,     481.7,,           2,2021,ALL,afr.american/black
Boston - Blackstone Elementary School,00350390,MATH,           0,0,           0,0,           0,0,           9,43,          12,57,          21,38,     465.7,,           2,2021,ALL,afr.american/black
Boston - Boston Latin Academy,00350545,ELA,          67,74,           7,8,          60,67,          22,24,           1,1,          90,91,     509.9,          37.6,          83,2021,ALL,afr.american/black
Boston - Boston Latin Academy,00350545,MATH,          37,41,           1,1,          36,40,          50,56,           3,3,          90,91,     497.8,          20.5,          83,2021,ALL,afr.american/black
Boston - Boston Latin Academy,00350545,SCI,           7,44,           0,0,           7,44,           9,56,           0,0,          16,94,     498.4,,,2021,ALL,afr.american/black
Boston - Boston Latin School,00350560,ELA,          46,84,           5,9,          41,75,           9,16,           0,0,          55,92,     514.8,          28.0,          49,2021,ALL,afr.american/black
Boston - Boston Latin School,00350560,MATH,          41,75,           3,5,          38,69,          14,25,           0,0,          55,92,     507.6,          15.0,          49,2021,ALL,afr.american/black
Boston - Boston Teachers Union K-8 Pilot,00350012,ELA,           6,24,           1,4,           5,20,          13,52,           6,24,          25,54,     486.1,,          14,2021,ALL,afr.american/black
Boston - Boston Teachers Union K-8 Pilot,00350012,MATH,           4,17,           0,0,           4,17,          14,61,           5,22,          23,50,     479.0,,          13,2021,ALL,afr.american/black
Boston - Bradley Elementary School,00350215,ELA,           8,80,           1,10,           7,70,           2,20,           0,0,          10,100,     513.3,,           5,2021,ALL,afr.american/black
Boston - Bradley Elementary School,00350215,MATH,           2,20,           0,0,           2,20,           7,70,           1,10,          10,100,     490.1,,           5,2021,ALL,afr.american/black
Boston - Channing Elementary School,00350360,ELA,           9,21,           2,5,           7,17,          27,64,           6,14,          42,100,     488.0,,          14,2021,ALL,afr.american/black
Boston - Channing Elementary School,00350360,MATH,           1,2,           0,0,           1,2,          20,48,          21,50,          42,100,     466.6,,          14,2021,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,ELA,          20,32,           5,8,          15,24,          31,49,          12,19,          63,92,     489.2,,          19,2021,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,MATH,           8,13,           0,0,           8,13,          29,48,          24,39,          61,89,     474.4,,          17,2021,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,SCI,           3,14,           0,0,           3,14,           8,36,          11,50,          22,96,     472.7,,,2021,ALL,afr.american/black
