school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Andover - Bancroft Elementary,90003,MATH,         148,51,          27,9,         121,42,         114,39,          29,10,         291,100,500.4,61.5,         184,70.0,2022
Andover - Bancroft Elementary,90003,SCI,          59,64,          18,20,          41,45,          30,33,           3,3,          92,99,510.7,,,90.0,2022
Andover - Doherty Middle,90305,ELA,         301,67,          77,17,         224,50,         123,27,          28,6,         452,100,508.9,60.7,         425,93.0,2022
Andover - Doherty Middle,90305,MATH,         294,65,          74,16,         220,49,         135,30,          23,5,         452,100,509.1,62.3,         425,90.0,2022
Andover - Doherty Middle,90305,SCI,         103,71,          19,13,          84,58,          33,23,          10,7,         146,100,509.3,,,88.0,2022
Andover - Henry C Sanborn Elementary,90010,ELA,         133,74,          28,16,         105,58,          40,22,           7,4,         180,100,510.7,64.3,         108,95.0,2022
Andover - Henry C Sanborn Elementary,90010,MATH,         127,71,          32,18,          95,53,          48,27,           5,3,         180,100,512.7,56.0,         108,95.0,2022
Andover - Henry C Sanborn Elementary,90010,SCI,          40,65,          14,23,          26,42,          19,31,           3,5,          62,100,510.4,,,90.0,2022
Andover - High Plain Elementary,90004,ELA,         189,69,          36,13,         153,56,          69,25,          17,6,         275,100,508.3,56.5,         154,91.0,2022
Andover - High Plain Elementary,90004,MATH,         189,69,          52,19,         137,50,          65,24,          21,8,         275,100,510.4,66.5,         154,92.0,2022
Andover - High Plain Elementary,90004,SCI,          67,79,          34,40,          33,39,          14,16,           4,5,          85,100,521.1,,,99.0,2022
Andover - South Elementary,90020,ELA,         164,71,          29,13,         135,58,          63,27,           4,2,         231,100,508.9,51.4,         145,93.0,2022
Andover - South Elementary,90020,MATH,         157,68,          39,17,         118,51,          69,30,           5,2,         231,100,510.8,61.6,         145,93.0,2022
Andover - South Elementary,90020,SCI,          51,70,          18,25,          33,45,          20,27,           2,3,          73,99,514.5,,,96.0,2022
