school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,          35,28,           1,1,          34,27,          49,40,          40,32,         124,70,     483.3,          51.1,          43,29,2022,ALL,high needs
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,          21,15,           6,4,          15,11,          68,49,          51,36,         140,80,     478.7,          47.1,          46,19,2022,ALL,high needs
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,          17,20,           0,0,          17,20,          32,38,          36,42,          85,83,     477.1,,,13,2022,ALL,high needs
Andover - Andover West Middle,00090310,ELA,          65,35,           8,4,          57,30,          91,48,          32,17,         188,99,     491.8,          53.6,         183,74,2022,ALL,high needs
Andover - Andover West Middle,00090310,MATH,          80,43,          15,8,          65,35,          79,42,          27,15,         186,98,     495.9,          58.8,         182,86,2022,ALL,high needs
Andover - Andover West Middle,00090310,SCI,          23,44,           4,8,          19,37,          24,46,           5,10,          52,98,     497.9,,,87,2022,ALL,high needs
Andover - Bancroft Elementary,00090003,ELA,          38,41,           2,2,          36,39,          46,49,           9,10,          93,98,     492.7,          52.8,          55,79,2022,ALL,high needs
Andover - Bancroft Elementary,00090003,MATH,          26,28,           5,5,          21,22,          44,47,          24,26,          94,99,     486.8,          59.8,          55,54,2022,ALL,high needs
Andover - Bancroft Elementary,00090003,SCI,          11,39,           3,11,           8,29,          15,54,           2,7,          28,97,     500.2,,,92,2022,ALL,high needs
Andover - Doherty Middle,00090305,ELA,          40,35,           7,6,          33,29,          52,45,          23,20,         115,100,     492.8,          52.3,         107,80,2022,ALL,high needs
Andover - Doherty Middle,00090305,MATH,          41,36,          11,10,          30,26,          52,45,          22,19,         115,100,     495.6,          57.4,         107,85,2022,ALL,high needs
Andover - Doherty Middle,00090305,SCI,           7,23,           2,7,           5,17,          15,50,           8,27,          30,100,     490.4,,,63,2022,ALL,high needs
Andover - Henry C Sanborn Elementary,00090010,ELA,          27,53,           1,2,          26,51,          17,33,           7,14,          51,100,     496.5,          57.3,          32,91,2022,ALL,high needs
Andover - Henry C Sanborn Elementary,00090010,MATH,          23,45,           3,6,          20,39,          23,45,           5,10,          51,100,     499.1,          51.1,          32,93,2022,ALL,high needs
Andover - Henry C Sanborn Elementary,00090010,SCI,          12,50,           2,8,          10,42,           9,38,           3,13,          24,100,     499.3,,,91,2022,ALL,high needs
Andover - High Plain Elementary,00090004,ELA,          60,48,           8,6,          52,42,          49,39,          16,13,         125,100,     498.6,          54.6,          72,95,2022,ALL,high needs
Andover - High Plain Elementary,00090004,MATH,          63,50,          10,8,          53,42,          42,34,          20,16,         125,100,     499.9,          61.4,          72,94,2022,ALL,high needs
Andover - High Plain Elementary,00090004,SCI,          23,58,          12,30,          11,28,          14,35,           3,8,          40,100,     513.9,,,99,2022,ALL,high needs
Andover - South Elementary,00090020,ELA,          37,53,           5,7,          32,46,          29,41,           4,6,          70,100,     499.8,          46.3,          50,96,2022,ALL,high needs
Andover - South Elementary,00090020,MATH,          34,49,           8,11,          26,37,          32,46,           4,6,          70,100,     502.0,          60.7,          50,97,2022,ALL,high needs
Andover - South Elementary,00090020,SCI,          16,62,           6,23,          10,38,          10,38,           0,0,          26,100,     510.0,,,99,2022,ALL,high needs
Andover - West Elementary,00090025,ELA,          39,33,           4,3,          35,30,          60,51,          19,16,         118,100,     494.0,          50.7,          75,84,2022,ALL,high needs
Andover - West Elementary,00090025,MATH,          31,26,           5,4,          26,22,          62,53,          24,21,         117,99,     492.2,          59.8,          75,77,2022,ALL,high needs
Andover - West Elementary,00090025,SCI,          18,37,           5,10,          13,27,          24,49,           7,14,          49,100,     498.2,,,89,2022,ALL,high needs
Andover - Wood Hill Middle School,00090350,ELA,          50,40,           5,4,          45,36,          59,47,          16,13,         125,100,     492.9,          47.9,         119,80,2022,ALL,high needs
Andover - Wood Hill Middle School,00090350,MATH,          55,44,           9,7,          46,37,          55,44,          14,11,         124,100,     496.5,          49.9,         118,88,2022,ALL,high needs
Andover - Wood Hill Middle School,00090350,SCI,          18,44,           1,2,          17,41,          19,46,           4,10,          41,100,     498.0,,,88,2022,ALL,high needs
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          38,15,           0,0,          38,15,         131,52,          82,33,         251,100,     478.8,          39.7,         239,12,2022,ALL,high needs
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          28,11,           0,0,          28,11,         150,60,          72,29,         250,100,     478.8,          38.2,         239,19,2022,ALL,high needs
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,          21,24,           0,0,          21,24,          45,51,          23,26,          89,100,     484.4,,,36,2022,ALL,high needs
Arlington - Brackett,00100010,ELA,          25,37,           0,0,          25,37,          31,46,          12,18,          68,97,     490.5,          42.3,          41,68,2022,ALL,high needs
Arlington - Brackett,00100010,MATH,          17,25,           0,0,          17,25,          38,56,          13,19,          68,97,     487.1,          45.6,          41,56,2022,ALL,high needs
Arlington - Brackett,00100010,SCI,          13,52,           2,8,          11,44,           9,36,           3,12,          25,96,     498.8,,,90,2022,ALL,high needs
Arlington - Cyrus E Dallin,00100025,ELA,          11,23,           2,4,           9,19,          32,68,           4,9,          47,96,     492.4,          37.1,          26,77,2022,ALL,high needs
Arlington - Cyrus E Dallin,00100025,MATH,          11,22,           1,2,          10,20,          27,55,          11,22,          49,98,     485.6,          48.3,          26,48,2022,ALL,high needs
Arlington - Cyrus E Dallin,00100025,SCI,           6,40,           0,0,           6,40,           8,53,           1,7,          15,94,     493.6,,,76,2022,ALL,high needs
Arlington - Gibbs School,00100305,ELA,          58,40,           5,3,          53,37,          55,38,          31,22,         144,97,     491.1,          52.2,         135,70,2022,ALL,high needs
Arlington - Gibbs School,00100305,MATH,          60,41,           3,2,          57,39,          73,50,          13,9,         146,99,     495.0,          58.0,         138,83,2022,ALL,high needs
Arlington - Hardy,00100030,ELA,          30,44,           1,1,          29,43,          27,40,          11,16,          68,96,     493.0,          46.8,          43,80,2022,ALL,high needs
Arlington - Hardy,00100030,MATH,          33,48,           8,12,          25,36,          28,41,           8,12,          69,98,     497.5,          51.5,          43,90,2022,ALL,high needs
Arlington - Hardy,00100030,SCI,          15,58,           1,4,          14,54,          10,38,           1,4,          26,100,     502.8,,,95,2022,ALL,high needs
Arlington - John A Bishop,00100005,ELA,          21,47,           4,9,          17,38,          19,42,           5,11,          45,100,     497.5,          67.7,          24,93,2022,ALL,high needs
Arlington - John A Bishop,00100005,MATH,          23,51,           2,4,          21,47,          16,36,           6,13,          45,100,     498.0,          57.8,          24,91,2022,ALL,high needs
Arlington - John A Bishop,00100005,SCI,           7,47,           1,7,           6,40,           5,33,           3,20,          15,100,     497.5,,,87,2022,ALL,high needs
Arlington - M Norcross Stratton,00100055,ELA,          23,38,           2,3,          21,35,          27,45,          10,17,          60,98,     494.9,          49.0,          36,86,2022,ALL,high needs
Arlington - M Norcross Stratton,00100055,MATH,          22,38,           5,9,          17,29,          28,48,           8,14,          58,95,     496.0,          65.9,          35,86,2022,ALL,high needs
Arlington - M Norcross Stratton,00100055,SCI,           9,41,           5,23,           4,18,           7,32,           6,27,          22,100,     498.9,,,90,2022,ALL,high needs
Arlington - Ottoson Middle,00100410,ELA,         122,45,           9,3,         113,42,         105,39,          45,17,         272,98,     494.4,          57.6,         242,85,2022,ALL,high needs
Arlington - Ottoson Middle,00100410,MATH,         123,46,          14,5,         109,40,         112,41,          35,13,         270,98,     496.6,          62.6,         240,88,2022,ALL,high needs
Arlington - Ottoson Middle,00100410,SCI,          57,45,          11,9,          46,36,          54,43,          16,13,         127,99,     495.8,,,83,2022,ALL,high needs
Arlington - Peirce,00100045,ELA,          16,30,           0,0,          16,30,          27,51,          10,19,          53,98,     487.5,          40.6,          31,51,2022,ALL,high needs
Arlington - Peirce,00100045,MATH,          16,30,           3,6,          13,25,          23,43,          14,26,          53,98,     488.6,          44.1,          31,62,2022,ALL,high needs
Arlington - Thompson,00100050,ELA,          26,31,           2,2,          24,29,          50,60,           8,10,          84,98,     492.5,          47.0,          51,77,2022,ALL,high needs
Arlington - Thompson,00100050,MATH,          29,35,           3,4,          26,31,          44,52,          11,13,          84,99,     492.7,          51.5,          51,79,2022,ALL,high needs
Arlington - Thompson,00100050,SCI,           9,25,           2,6,           7,19,          21,58,           6,17,          36,97,     488.8,,,56,2022,ALL,high needs
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,          37,34,           0,0,          37,34,          58,53,          15,14,         110,99,     490.6,          44.0,          63,68,2022,ALL,high needs
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,          33,30,           2,2,          31,28,          55,50,          22,20,         110,99,     488.2,          41.2,          63,61,2022,ALL,high needs
Ashburnham-Westminster - Briggs Elementary,06100025,SCI,          12,35,           0,0,          12,35,          19,56,           3,9,          34,100,     491.7,,,69,2022,ALL,high needs
Ashburnham-Westminster - Overlook Middle School,06100305,ELA,          74,34,          10,5,          64,29,         111,51,          32,15,         217,100,     492.6,          56.0,         207,78,2022,ALL,high needs
Ashburnham-Westminster - Overlook Middle School,06100305,MATH,          69,32,           2,1,          67,31,         116,54,          31,14,         216,100,     490.7,          54.4,         207,71,2022,ALL,high needs
Ashburnham-Westminster - Overlook Middle School,06100305,SCI,          21,28,           1,1,          20,26,          41,54,          14,18,          76,100,     487.7,,,52,2022,ALL,high needs
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,          30,26,           0,0,          30,26,          68,58,          19,16,         117,99,     487.3,          37.5,          69,50,2022,ALL,high needs
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,          31,26,           0,0,          31,26,          59,50,          27,23,         117,99,     486.2,          41.6,          69,51,2022,ALL,high needs
Ashburnham-Westminster - Westminster Elementary,06100005,SCI,          10,29,           0,0,          10,29,          18,51,           7,20,          35,100,     485.5,,,42,2022,ALL,high needs
Ashland - Ashland Middle,00140405,ELA,          65,25,           5,2,          60,23,         124,48,          72,28,         261,97,     483.9,          53.5,         245,32,2022,ALL,high needs
Ashland - Ashland Middle,00140405,MATH,          63,24,           8,3,          55,21,         159,60,          41,16,         263,98,     487.6,          62.0,         245,58,2022,ALL,high needs
Ashland - Ashland Middle,00140405,SCI,          22,26,           2,2,          20,24,          44,52,          19,22,          85,98,     484.7,,,38,2022,ALL,high needs
Ashland - David Mindess,00140015,ELA,          68,26,           4,2,          64,24,         143,55,          51,19,         262,99,     487.9,          42.9,         155,53,2022,ALL,high needs
Ashland - David Mindess,00140015,MATH,          68,26,           6,2,          62,24,         130,50,          64,24,         262,100,     485.9,          46.6,         155,49,2022,ALL,high needs
Ashland - David Mindess,00140015,SCI,          30,36,           2,2,          28,33,          40,48,          14,17,          84,98,     491.5,,,68,2022,ALL,high needs
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          32,21,           0,0,          32,21,          78,50,          45,29,         155,99,     483.2,          36.0,          72,29,2022,ALL,high needs
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          36,24,           3,2,          33,22,          71,46,          46,30,         153,98,     482.2,          42.2,          71,31,2022,ALL,high needs
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,          48,15,           3,1,          45,14,         154,49,         114,36,         316,96,     479.0,          38.6,         295,12,2022,ALL,high needs
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,          44,14,           1,0,          43,13,         193,61,          82,26,         319,97,     481.8,          47.2,         299,30,2022,ALL,high needs
Athol-Royalston - Athol-Royalston Middle School,06150305,SCI,          42,26,           5,3,          37,23,          89,55,          32,20,         163,93,     488.8,,,56,2022,ALL,high needs
Athol-Royalston - Royalston Community School,06150050,ELA,          18,41,           0,0,          18,41,          18,41,           8,18,          44,100,     491.0,          45.7,          27,70,2022,ALL,high needs
Athol-Royalston - Royalston Community School,06150050,MATH,          15,34,           1,2,          14,32,          20,45,           9,20,          44,100,     488.1,          41.0,          27,60,2022,ALL,high needs
