school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Boston - Dever Elementary School,00350268,SCI,           0,0,           0,0,           0,0,           7,47,           8,53,          15,89,     465.9,,,2021,ALL,EL
Boston - Edison K-8 School,00350375,ELA,          12,9,           2,1,          10,7,          45,33,          78,58,         135,99,     468.0,          37.1,          39,2021,ALL,EL
Boston - Edison K-8 School,00350375,MATH,           2,2,           0,0,           2,2,          40,30,          91,68,         133,97,     462.2,          36.7,          38,2021,ALL,EL
Boston - Edison K-8 School,00350375,SCI,           0,0,           0,0,           0,0,          15,41,          22,59,          37,95,     465.2,,,2021,ALL,EL
Boston - Edwards Middle School,00350430,ELA,           1,1,           0,0,           1,1,          15,22,          53,77,          69,96,     459.0,          27.1,          52,2021,ALL,EL
Boston - Edwards Middle School,00350430,MATH,           1,2,           0,0,           1,2,          20,30,          45,68,          66,90,     462.1,          27.7,          50,2021,ALL,EL
Boston - Edwards Middle School,00350430,SCI,           0,0,           0,0,           0,0,           4,16,          21,84,          25,90,     458.5,,,2021,ALL,EL
Boston - Eliot K-8 Innovation School,00350096,ELA,           3,19,           1,6,           2,13,           6,38,           7,44,          16,71,     480.5,,          12,2021,ALL,EL
Boston - Eliot K-8 Innovation School,00350096,MATH,           2,13,           1,6,           1,6,          10,63,           4,25,          16,71,     485.4,,          12,2021,ALL,EL
Boston - Ellis Elementary School,00350072,ELA,           3,6,           0,0,           3,6,          27,54,          20,40,          50,93,     472.0,,          16,2021,ALL,EL
Boston - Ellis Elementary School,00350072,MATH,           2,4,           0,0,           2,4,          16,33,          31,63,          49,91,     464.4,,          14,2021,ALL,EL
Boston - Ellis Elementary School,00350072,SCI,           1,5,           0,0,           1,5,           8,38,          12,57,          21,91,     465.5,,,2021,ALL,EL
Boston - Ellison-Parks Early Education School,00350008,ELA,           1,6,           0,0,           1,6,          13,76,           3,18,          17,100,     479.7,,,2021,ALL,EL
Boston - Ellison-Parks Early Education School,00350008,MATH,           0,0,           0,0,           0,0,           5,29,          12,71,          17,100,     463.3,,,2021,ALL,EL
Boston - Everett Elementary School,00350088,ELA,           5,17,           1,3,           4,14,          20,69,           4,14,          29,100,     485.2,,           6,2021,ALL,EL
Boston - Everett Elementary School,00350088,MATH,           0,0,           0,0,           0,0,          12,41,          17,59,          29,100,     466.7,,           6,2021,ALL,EL
Boston - Frederick Pilot Middle School,00350383,ELA,           1,1,           0,0,           1,1,          17,19,          73,80,          91,68,     460.0,          25.7,          36,2021,ALL,EL
Boston - Frederick Pilot Middle School,00350383,MATH,           7,8,           0,0,           7,8,          27,30,          57,63,          91,61,     469.1,          30.3,          38,2021,ALL,EL
Boston - Frederick Pilot Middle School,00350383,SCI,           0,0,           0,0,           0,0,           4,19,          17,81,          21,50,     462.3,,,2021,ALL,EL
Boston - Gardner Pilot Academy,00350326,ELA,           4,6,           0,0,           4,6,          36,52,          29,42,          69,96,     474.0,          33.7,          32,2021,ALL,EL
Boston - Gardner Pilot Academy,00350326,MATH,           2,3,           0,0,           2,3,          32,47,          34,50,          68,93,     468.3,          37.9,          31,2021,ALL,EL
Boston - Gardner Pilot Academy,00350326,SCI,           0,0,           0,0,           0,0,           8,50,           8,50,          16,89,     468.5,,,2021,ALL,EL
